title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
President,2003-10-31,Q57371,Ilham Aliyev,male,1961-12-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ilham%20Aliyev%20%28official%20portrait%29%20%28cropped%29.jpg
Vice President,2017-02-21,Q671930,Mehriban Aliyeva,female,1964-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mehriban%20Aliyeva%20on%202021%20IDWGS%20%28cropped%29.jpg
Prime Minister,2019-10-08,Q12850075,Ali Asadov,male,1956-11-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Asadov%20%282019-12-17%29.jpg
First Deputy Prime Minister,2003-02-13,Q4533449,Yaqub Eyyubov,male,1945-10-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eyyubov%20Yaqub%20Abdulla%20o%C4%9Fl%C4%B1.JPG
Deputy Prime Minister,2013-10-22,Q4073064,Ali Ahmadov,male,1953-01-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ali%20Ahmadov%20-%202019%20%28cropped%29.jpg
Deputy Prime Minister,2019-10-22,Q15734658,Shahin Mustafayev,male,1965-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%20Mustafayev.JPG
Minister of Agriculture,2018-04-21,Q12849026,Inam Karimov,male,1977-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C4%B0nam%20K%C9%99rimov%20at%20Agroforum%20Reception%2008Nov19%20008%20%2849065061941%29%20%28cropped%29.jpg
Minister of Culture,2021-01-05,Q97698132,Anar Karimov,male,1977-06-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anar%20Karimov.jpg
Minister of Defense,2013-10-22,Q12848240,Zakir Hasanov,male,1959-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zakir%20Hasanov%20at%20the%202018%20parade.jpg
Minister of Defense Industry,2019-06-20,Q4151833,Madat Guliyev,male,1958-09-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Madat%20Guliyev.jpg
Minister of Ecology and Natural Resources,2018-04-23,Q6584988,Muxtar Babayev,male,1967-10-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Muxtar%20Babayev%20-%20esas.jpg
Minister of Economy,2019-10-23,Q15090186,Mikayil Jabbarov,male,1976-09-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mikayil%20Jabbarov%20new.jpg
Minister of Education,2020-07-27,Q97715003,Emin Amrullayev,male,1982-12-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emin%20Amrullayev.jpg
Minister of Emergency Situations,2006-02-06,Q4134808,Kamaladdin Heydarov,male,1961-07-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kamaladdin%20Heydarov.jpg
Minister of Energy,2017-10-12,Q55199625,Parviz Shahbazov,male,1969-11-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/P%C9%99rviz%20%C5%9Eahbazov.jpg
Minister of Finance,2006-04-18,Q4520550,Samir Sharifov,male,1961-09-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ilham%20Aliyev%20chaired%20meeting%20of%20Cabinet%20of%20Ministers%20dedicated%20to%20results%20of%20socioeconomic%20development%20of%202018%20and%20objectives%20for%20future%2008.jpg
Minister of Foreign Affairs,2020-07-16,Q16366137,Jeyhun Bayramov,male,1973-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/JeyhunBayramov.jpg
Minister of Health,2021-04-23,Q106637032,Teymur Musayev,male,1970-09-16,11,,,
Minister of Internal Affairs,2019-06-20,Q64752976,Vilayet Eyvazov,male,1968-06-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vilayat%20Eyvazov%20at%20the%20opening%20of%20Internal%20Troops%60%20military%20unit%20in%20Aghstafa%202020.jpg
Minister of Justice,2000-04-19,Q12839492,Fikrat Mammadov,male,1955-07-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Urmas%20Reinsalu%2C%20Fikrat%20Mammadov%20and%20Andres%20Anvelt%20%2835608828472%29%20%28cropped%29.jpg
Minister of Labor and Social Protection of Population,2018-04-21,Q55202170,Sahil Babayev,male,1980-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sahil%20Babayev%20%28cropped%29.jpg
"Minister of Transport, Communications and High Technologies",2021-01-25,Q47773089,Rashad Nabiyev,male,1977-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rashad%20Nabiyev%20photo%20%28cropped%29.jpg
Minister of Youth and Sports,2021-09-07,Q55200119,Farid Gayibov,male,1979-04-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Farid%20Gayibov%203.jpg
Chairman of the Food Safety Agency,2017-12-25,Q55200630,Goshgar Tahmazli,male,1970-05-29,11,,,
Chairman of the State Committee for Work with Religious Associations,2014-07-21,Q12842413,Mubariz Gurbanli,male,1954-01-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/DQ%C4%B0DK%20s%C9%99dri%20M%C3%BCbariz%20Qurbanl%C4%B1n%C4%B1n%20%22Amerikan%C4%B1n%20S%C9%99si%22n%C9%99%20m%C3%BCsahib%C9%99si%20-%202.jpg
Chairman of the State Committee on Diaspora Affairs,2018-04-23,Q5506881,Fuad Muradov,male,1979-07-22,11,,,
Chairman of the State Committee on Refugee and IDP Affairs,2018-04-21,Q19715508,Rovshan Rzayev,male,1962-01-20,11,,,
Chairman of the State Customs Committee,2018-04-23,Q16374557,Safar Mehdiyev,male,1973-03-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ilham%20Aliyev%20chaired%20meeting%20of%20Cabinet%20of%20Ministers%20dedicated%20to%20results%20of%20socioeconomic%20development%20of%202018%20and%20objectives%20for%20future%2010.jpg
