position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the House of Representatives of Malta,John Dalli,Q518375,1987,2010,male,1948-10-05,,John Dalli 2011 (cropped).jpg,John Dalli
Member of the House of Representatives of Malta,Evarist Bartolo,Q5416069,1992-04-04,,male,1952-10-14,,HAND SHAKE 2016-07-14 (28222985071) (cropped).jpg,Evarist Bartolo
Member of the House of Representatives of Malta,Angelo Farrugia,Q4762878,1996-10-27,2013-03-09,male,1955-12-29,,Press Conference - Bratislava Informal Parliamentary Summit 2016-10-07 (29542926073).jpg,Angelo Farrugia
Member of the House of Representatives of Malta,Joseph Muscat,Q938224,2013-03,2020-10-05,male,1974-01-22,,"Joseph Muscat, cropped.jpg",Joseph Muscat
Member of the House of Representatives of Malta,Leo Brincat,Q29581315,2013-03-11,2016-04-29,male,,,,
Member of the House of Representatives of Malta,Joe Cassar,Q632408,2013-03-13,2015-11-03,male,1966-05-19,,,Joe Cassar
Member of the House of Representatives of Malta,Albert Fenech,Q29581218,2013-04-03,2015-04-05,male,,,,
member of the 13th House of Representatives of Malta,Glenn Bedingfield,Q1531043,2017-06-20,,male,1974-11-15,,GlennBedingfield-01.jpg,Glenn Bedingfield
member of the 13th House of Representatives of Malta,Clayton Bartolo,Q37861005,2017-06-20,,male,1987-06-02,,,Clayton Bartolo
member of the 13th House of Representatives of Malta,Rosianne Cutajar,Q37861077,2017-06-20,,female,,,RC Profile.jpg,Rosianne Cutajar
member of the 13th House of Representatives of Malta,Etienne Grech,Q37861203,2017-06-20,,male,,,,
member of the 13th House of Representatives of Malta,Edward Zammit Lewis,Q37861343,2017-06-20,,male,1973-06-21,,15th EUROPEAN TOURISM FORUM Edward Zammit Lewis (30278550415).jpg,Edward Zammit Lewis
member of the 13th House of Representatives of Malta,Stefan Zrinzo Azzopardi,Q37861353,2017-06-20,,male,,,,
member of the 13th House of Representatives of Malta,Emmanuel Mallia,Q5373281,2017-06-20,,male,,,Minister Dr. Emmanuel Mallia.jpg,Emmanuel Mallia
member of the 13th House of Representatives of Malta,Godfrey Farrugia,Q25688004,2017-06-21,,male,1960-05-04,,Godfrey Farrugia - September 2016 (cropped).jpg,Godfrey Farrugia
member of the 13th House of Representatives of Malta,Karol Aquilina,Q37860993,2017-06-21,,male,,,,
