position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the 6th Scottish Parliament,Jackie Dunbar,Q106750784,2021-05-06,,female,,,,Jackie Dunbar
Member of the 6th Scottish Parliament,Marie McNair,Q106752706,2021-05-06,,female,,,,Marie McNair
Member of the 6th Scottish Parliament,Paul McLennan,Q106754484,2021-05-06,,male,,,,Paul McLennan
Member of the 6th Scottish Parliament,Collette Stevenson,Q106758077,2021-05-06,,female,1969-03-15,,Collette Stevenson 2021.jpg,Collette Stevenson
Member of the 6th Scottish Parliament,Evelyn Tweed,Q106758086,2021-05-06,,female,,,,Evelyn Tweed
Member of the 6th Scottish Parliament,Natalie Don,Q106758197,2021-05-06,,female,,,,Natalie Don
Member of the 6th Scottish Parliament,Jenni Minto,Q106759906,2021-05-06,,female,1968,,,Jenni Minto
Member of the 6th Scottish Parliament,Siobhian Brown,Q106762414,2021-05-06,,female,,,Siobhian Brown MSP.jpg,Siobhian Brown
Member of the 6th Scottish Parliament,Audrey Nicoll,Q106762597,2021-05-06,,female,,,,Audrey Nicoll
Member of the 6th Scottish Parliament,Jim Fairlie,Q106765814,2021-05-06,,male,,,,Jim Fairlie (MSP)
Member of the 6th Scottish Parliament,Stephanie Callaghan,Q106765958,2021-05-06,,female,1971,,,Stephanie Callaghan
Member of the 6th Scottish Parliament,Elena Whitham,Q106766023,2021-05-06,,female,1974,,,Elena Whitham
Member of the 6th Scottish Parliament,Kaukab Stewart,Q106766550,2021-05-06,,female,,,,Kaukab Stewart
Member of the 6th Scottish Parliament,Emma Roddick,Q106766730,2021-05-06,,female,1997-07-30,,Emma Roddick 2021.jpg,Emma Roddick
Member of the 6th Scottish Parliament,Sandesh Gulhane,Q106766995,2021-05-06,,male,,,,Sandesh Gulhane
Member of the 6th Scottish Parliament,Mercedes Villalba,Q106767087,2021-05-06,,female,,,,Mercedes Villalba
Member of the 6th Scottish Parliament,Sue Webber,Q106767856,2021-05-06,,female,,,,Sue Webber
Member of the 6th Scottish Parliament,Michael Marra,Q106770690,2021-05-06,,male,,,Michael Marra 2021.jpg,Michael Marra (politician)
Member of the 6th Scottish Parliament,Paul O'Kane,Q106770888,2021-05-06,,male,,,Paul O'Kane 2021.jpg,Paul O'Kane
Member of the 6th Scottish Parliament,Russell Findlay,Q106770895,2021-05-06,,male,,,Official portrait of Russell Findlay MSP (cropped).jpg,Russell Findlay (politician)
Member of the 6th Scottish Parliament,Karen Adam,Q106771122,2021-05-06,,female,1975-06-07,,Karen Adam MSP.jpg,Karen Adam
Member of the 6th Scottish Parliament,Sharon Dowey,Q106771131,2021-05-06,,female,,,Sharon Dowey MSP.jpg,Sharon Dowey
Member of the 6th Scottish Parliament,Christina McKelvie,Q1083222,2021-05-06,,female,1968-03-04,,"Minister for Equalities and Older People, Christina McKelvie (51190914710).jpg",Christina McKelvie
Member of the 6th Scottish Parliament,Colin Beattie,Q1108343,2021-05-06,,male,1951-10-17,,Colin Beattie.JPG,Colin Beattie
Member of the 6th Scottish Parliament,David Torrance,Q1176878,2021-05-06,,male,1961-03-13,,DavidTorranceMSP20111207.jpg,David Torrance (politician)
Member of the 6th Scottish Parliament,Michael Matheson,Q121780,2021-05-06,,male,1970-09-08,,MichaelMathesonMSP20110507.JPG,Michael Matheson (politician)
Member of the 6th Scottish Parliament,Jackson Carlaw,Q1231522,2021-05-06,,male,1959-04-12,,JacksonCarlawMSP.jpg,Jackson Carlaw
Member of the 6th Scottish Parliament,George Adam,Q1282862,2021-05-06,,male,1969-06-08,,George outside Paisley'sTown Hall.JPG,George Adam
Member of the 6th Scottish Parliament,Graeme Dey,Q1349075,2021-05-06,,male,1962-10-29,,GraemeDeyMSP20110507.jpg,Graeme Dey
Member of the 6th Scottish Parliament,Fiona Hyslop,Q1418512,2021-05-06,,female,1964-08-01,,Fiona Hyslop (26485977214).jpg,Fiona Hyslop
Member of the 6th Scottish Parliament,Richard Lochhead,Q1490268,2021-05-06,,male,1969-05-24,,RichardLochhead MSP.jpg,Richard Lochhead
Member of the 6th Scottish Parliament,Gordon MacDonald,Q1538053,2021-05-06,,male,1960-01-02,,GordonMacDonaldMSP20120529.jpg,Gordon MacDonald (Scottish politician)
Member of the 6th Scottish Parliament,Neil Bibby,Q1557330,2021-05-06,,male,1983-09-06,,Neil Bibby.JPG,Neil Bibby
Member of the 6th Scottish Parliament,Joe FitzPatrick,Q1612012,2021-05-06,,male,1967-04-01,,JoeFitzPatrickMSP20110511.JPG,Joe FitzPatrick
Member of the 6th Scottish Parliament,Alex Rowley,Q16191157,2021-05-06,,male,1963-11-30,,Scottish Labour candidate for Cowdenbeath signs the pledge (cropped).jpg,Alex Rowley
Member of the 6th Scottish Parliament,Maggie Chapman,Q16727932,2021-05-06,,female,1979-06-27,,Maggie Chapman MSP.jpg,Maggie Chapman
Member of the 6th Scottish Parliament,Jamie Hepburn,Q1681399,2021-05-06,,male,1979-05-21,,JamieHepburnMSP20110511.JPG,Jamie Hepburn
Member of the 6th Scottish Parliament,Liam McArthur,Q1691804,2021-05-06,,male,1967-08-08,,LiamMcArthurMSP20110510.JPG,Liam McArthur
Member of the 6th Scottish Parliament,John Mason,Q1700987,2021-05-06,,male,1957-05-15,,JohnMasonMSP20110509.JPG,John Mason (Scottish politician)
Member of the 6th Scottish Parliament,Keith Brown,Q1738042,2021-05-06,,male,1961-12-20,,Keith Brown (26487692243).jpg,Keith Brown (Scottish politician)
Member of the 6th Scottish Parliament,Kevin Stewart,Q1740263,2021-05-06,,male,1968-06-03,,KevinStewartMSP20110507.JPG,Kevin Stewart (Scottish politician)
Member of the 6th Scottish Parliament,Humza Yousaf,Q174924,2021-05-06,,male,1985-04-07,,"Cabinet Secretary for Health and Social Care, Humza Yousaf, 2021.jpg",Humza Yousaf
Member of the 6th Scottish Parliament,Mark Griffin,Q1900077,2021-05-06,,male,1985-10-19,,Mark-Griffin-MSP-closeup.jpg,Mark Griffin (politician)
Member of the 6th Scottish Parliament,Mark Ruskell,Q1900397,2021-05-06,,male,1972-05-14,,MarkRuskellMSP-May2016.jpg,Mark Ruskell
Member of the 6th Scottish Parliament,Murdo Fraser,Q1953630,2021-05-06,,male,1965-09-05,,MurdoFraserMSP20110510.JPG,Murdo Fraser
Member of the 6th Scottish Parliament,Foysol Choudhury,Q19585486,2021-05-06,,male,1969-01-05,,Foysol Choudhury MBE.jpg,Foysol Choudhury
Member of the 6th Scottish Parliament,Neil Gray,Q19882694,2021-05-06,,male,1986-03-16,,Official portrait of Neil Gray crop 2.jpg,Neil Gray
Member of the 6th Scottish Parliament,Michelle Thomson,Q20027903,2021-05-06,,female,1965-03-11,,Michelle Thomson 2021.jpg,Michelle Thomson
Member of the 6th Scottish Parliament,Patrick Harvie,Q2057654,2021-05-06,,male,1973-03-18,,Patrick Harvie 2021.jpg,Patrick Harvie
Member of the 6th Scottish Parliament,Pauline McNeill,Q2063795,2021-05-06,,female,1962-09-12,,Pauline McNeill.jpg,Pauline McNeill
Member of the 6th Scottish Parliament,Shirley-Anne Somerville,Q2279359,2021-05-06,,female,1974-09-02,,"Minister for Further Education, Higher Education and Science, Shirley Anne Sommerville.png",Shirley-Anne Somerville
Member of the 6th Scottish Parliament,Stuart McMillan,Q2357916,2021-05-06,,male,1972-05-06,,StuartMcMillanMSP20110510.JPG,Stuart McMillan
Member of the 6th Scottish Parliament,Gillian Martin,Q24014282,2021-05-06,,female,1969-01,,GillianMartinMSP-May2016.jpg,Gillian Martin
Member of the 6th Scottish Parliament,Mairi Gougeon,Q24014894,2021-05-06,,female,1985-04-23,,"Cabinet Secretary for Rural Affairs and Islands, Mairi Gougeon.jpg",Mairi Gougeon
Member of the 6th Scottish Parliament,Clare Haughey,Q24025938,2021-05-06,,female,1967-04,,ClareHaugheyMSP-May2016.jpg,Clare Haughey
Member of the 6th Scottish Parliament,Jenny Gilruth,Q24026044,2021-05-06,,female,,,"Jenny Gilruth, Minister for Europe and International Development (49565659756).jpg",Jenny Gilruth
Member of the 6th Scottish Parliament,Rachael Hamilton,Q24034267,2021-05-06,,female,1970-09,,Rachel Hamilton MSP.png,Rachael Hamilton
Member of the 6th Scottish Parliament,Oliver Mundell,Q24034308,2021-05-06,,male,1989-12-01,,Oliver Mundell 2016.jpg,Oliver Mundell
Member of the 6th Scottish Parliament,Finlay Carson,Q24034357,2021-05-06,,male,1967-10-18,,FinlayCarsonMSP.jpg,Finlay Carson
Member of the 6th Scottish Parliament,Ross Greer,Q24034374,2021-05-06,,male,1994-06-01,,RossGreerMSP.JPG,Ross Greer
Member of the 6th Scottish Parliament,Ruth Maguire,Q24034376,2021-05-06,,female,,,RuthMaguireMSP-Nov2016.jpg,Ruth Maguire
Member of the 6th Scottish Parliament,Maree Todd,Q24034387,2021-05-06,,female,,,Maree Todd MSP - May 2016.jpg,Maree Todd
Member of the 6th Scottish Parliament,Emma Harper,Q24034416,2021-05-06,,female,,,EmmaHarperMSP-May2016.jpg,Emma Harper
Member of the 6th Scottish Parliament,Alexander Burnett,Q24034422,2021-05-06,,male,1973-07-30,,Alexander Burnett.jpg,Alexander Burnett (politician)
Member of the 6th Scottish Parliament,Colin Smyth,Q24036539,2021-05-06,,male,1972,,Colin Smyth MSP.jpg,Colin Smyth
Member of the 6th Scottish Parliament,Kate Forbes,Q24039479,2021-05-06,,female,1990-04-06,,"Cabinet Secretary for Finance and the Economy, Kate Forbes, 2021.jpg",Kate Forbes
Member of the 6th Scottish Parliament,Edward Mountain,Q24039768,2021-05-06,,male,1961-03-19,,Official Portrait of Edward Mountain MSP.jpg,"Sir Edward Mountain, 4th Baronet"
Member of the 6th Scottish Parliament,Douglas Ross,Q24039769,2021-05-06,,male,1983-01-27,,Official portrait of Douglas Ross MP crop 2.jpg,Douglas Ross (Scottish politician)
Member of the 6th Scottish Parliament,Jamie Greene,Q24039791,2021-05-06,,male,1980-03-19,,JamieGreeneMSP.jpg,Jamie Greene
Member of the 6th Scottish Parliament,Rona Mackay,Q24039795,2021-05-06,,female,,,Rona Mackay MSP.jpg,Rona Mackay
Member of the 6th Scottish Parliament,Maurice Golden,Q24039803,2021-05-06,,male,1980-01-12,,MauriceGoldenMSP.jpg,Maurice Golden
Member of the 6th Scottish Parliament,Tom Arthur,Q24039804,2021-05-06,,male,1985-10-01,,Tom Arthur.jpg,Tom Arthur (Scottish politician)
Member of the 6th Scottish Parliament,Richard Leonard,Q24039896,2021-05-06,,male,1962-01,,Richard Leonard MSP.png,Richard Leonard
Member of the 6th Scottish Parliament,Monica Lennon,Q24039899,2021-05-06,,female,1981-01,,MonicaLennonMSP.jpg,Monica Lennon
Member of the 6th Scottish Parliament,Graham Simpson,Q24039900,2021-05-06,,male,,,Graham Simpson.jpg,Graham Simpson (politician)
Member of the 6th Scottish Parliament,Alex Cole-Hamilton,Q24045406,2021-05-06,,male,1977-07-22,,AlexCole-HamiltonMSP.jpg,Alex Cole-Hamilton
Member of the 6th Scottish Parliament,Ben Macpherson,Q24052665,2021-05-06,,male,,,BenMacphersonMSP-May2016.jpg,Ben Macpherson (politician)
Member of the 6th Scottish Parliament,Ash Denham,Q24052667,2021-05-06,,female,1974-03-08,,AshDenhamMSP-May2016.jpg,Ash Regan
Member of the 6th Scottish Parliament,Fulton MacGregor,Q24052668,2021-05-06,,male,1980-07-24,,Fulton MacGregor MSP.jpg,Fulton MacGregor
Member of the 6th Scottish Parliament,Daniel Johnson,Q24052669,2021-05-06,,male,1977-09-03,,David Johnson MSP.jpg,Daniel Johnson (Scottish politician)
Member of the 6th Scottish Parliament,Ivan McKee,Q24052670,2021-05-06,,male,1963-09,,IvanMcKeeMSP-May2016.jpg,Ivan McKee
Member of the 6th Scottish Parliament,Annie Wells,Q24052671,2021-05-06,,female,1972-02-24,,AnnieWellsMSP.jpg,Annie Wells (politician)
Member of the 6th Scottish Parliament,Miles Briggs,Q24052672,2021-05-06,,male,1983-03-30,,Miles Briggs.jpg,Miles Briggs
Member of the 6th Scottish Parliament,Donald Cameron,Q24052673,2021-05-06,,male,1976-11-26,,Donald cameron msp wiki2.jpg,Donald Cameron (Scottish politician)
