position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Armen Sarkissian,Q93153,2018-04-09,male,1953-06-23,,Sarkissian armen profile.jpg,Armen Sarkissian
Prime Minister,Nikol Pashinyan,Q7035479,2021-06-20,male,1975-06-01,,"Besuch des Ministerpräsidenten von Armenien, Nikol Pashinyan, im Kölner Rathaus-2162.jpg",Nikol Pashinyan
Minister of Defence,Souren Papikyan,Q53140569,2021-11-15,male,1986-04-26,,Suren Papikyan 1.jpg,
Minister of Economy,Vahan Kerobyan,Q108315659,2021-08-02,male,1976-10-01,,,
Minister of Education and Science,Vahram Dumanyan,Q108315645,2021-08-02,male,1962-09-09,,,
Minister of Emergency Situations,Andranik Piloyan,Q100691234,2020-11-20,male,1962,,,
Minister of Environment,Romanos Petrosyan,Q56121104,2020-07-30,male,1979-08-26,,Ռոմանոս Պետրոսյան.jpg,
Minister of Finance,Tigran Khachatryan,Q108315666,2021-08-02,male,1970-12-11,,,
Minister of Foreign Affairs,Ararat Mirzoyan,Q31196321,2021-08-19,male,1979-11-23,,"Armenian Speaker Ararat Mirzoyan, Yerevan, 25 November 2019 (cropped).jpg",Ararat Mirzoyan
Minister of Health,Anahit Avanesian,Q87244322,2021-01-01,female,1981-03-21,,,Anahit Avanesian
Minister of High-Tech Industry,Vahagn Khachatryan,Q3553274,2021-08-02,male,1959-04-22,,Vahagn Khachaturyan.jpg,Vahagn Khachaturyan
Minister of Justice,Karen Andreasyan,Q6369479,2021-08-02,male,1977-09-10,,,Karen Andreasyan
Minister of Labor and Social Affairs,Narek Mkrtchyan,Q63762730,2021-04-23,male,1989-06-20,,,
Minister of Territorial Administration and Infrastructures,Gnel Sanosyan,Q57269722,2021-08-02,male,1983-10-07,,Gnel Sanosyan.jpg,
Chief of the General Staff,Onik Gasparyan,Q21210624,2020-06-08,male,1970-01-06,,Onik Gasparyan.jpeg,Onik Gasparyan
President of the National Assembly,Alen Simonyan,Q20513503,2021-08-02,male,1980-01-05,,Alen Simonyan.jpg,Alen Simonyan
Governor of the Central Bank,Martin Galstyan,Q109452938,2020-06-13,male,,,,
Mayor of Yerevan,Hayk Marutyan,Q5686767,2018-10-10,male,1976-12-18,,Айк Марутян.png,Hayk Marutyan
