position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
Chief Minister,Fabian Picardo,Q2356379,2011-12-09,male,1972-02-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fabian%20Picardo%20on%20National%20Day%202011.jpg
Deputy Chief Minister,Joseph Garcia,Q1442437,2011-12-09,male,1967-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Joseph%20Garcia%20portrait.jpg
"Minister for Digital, Financial Services and Public Utilities",Albert Isola,Q16190596,2013-07-04,male,1963-09-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Hon%20Albert%20Isola%202014%20%28cropped%29.jpg
"Minister for Economic Development, Enterprise, Telecommunications & the Gibraltar Savings Bank",Joe Bossano,Q3090591,2011-12-08,male,1939-06-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Joebossano.jpg
"Minister for the Environment, Sustainability, Climate Change and Education",John Cortes,Q3323220,2011-12-01,male,1953-01-01,7,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dr%20john%20cortes.jpg
Minister for Transport,Paul Balban,Q3323197,2021-06-21,male,1901-01-01,7,,,
"Minister for the Health Authority, Justice, Multiculturalism, Equality and Community Affairs",Samantha Sacramento,Q3322990,2016-01-01,female,2000-01-01,7,,,http://commons.wikimedia.org/wiki/Special:FilePath/Samantha%20Sacramento.jpg
"Minister for Housing, Employment, Youth and Sport",Steven Linares,Q3323210,2011-12-01,male,1901-01-01,7,,,http://commons.wikimedia.org/wiki/Special:FilePath/Steven%20Linares%20at%20the%202013%20Gibraltar%20Music%20Festival.jpg
"Minister for Business, Tourism and The Port",Vijay Daryanani,Q107803413,2019-10-01,male,,,,,
Speaker of the Parliament,Melvyn Farrell,Q109469785,2019-11-19,male,,,,,
Mayor of Gibraltar,John Gonçalves,Q97462971,2019-04-05,male,,,,,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Goncalves.jpg
