position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Sauli Niinistö,Q29207,2012-03-01,male,1948-08-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sauli%20Niinist%C3%B6%20at%20the%20Enthronement%20of%20Naruhito%20%281%29.jpg
Prime Minister,Sanna Marin,Q16986436,2019-12-10,female,1985-11-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Prime%20Minister%20of%20Finland%20Sanna%20Marin%202019%20%28cropped%29.jpg
Deputy Prime Minister,Annika Saarikko,Q7045446,2020-09-10,female,1983-11-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Annika%20Saarikko%202020%20%28cropped%29.jpg
Minister of Agriculture and Forestry,Jari Leppä,Q11866066,2019-12-10,male,1959-06-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jari%20Lepp%C3%A4%203%202020.jpg
Minister of Defence,Antti Kaikkonen,Q11852109,2019-12-10,male,1974-02-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kaikkonen%202015%20%28cropped%29.jpg
Minister for Development Cooperation and Foreign Trade,Ville Skinnari,Q5485318,2019-12-10,male,1974-02-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ville%20Skinnari.jpg
Minister of Economic Affairs,Mika Lintilä,Q16984784,2019-12-10,male,1966-04-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mika-Lintil%C3%A4-3.jpg
Minister of Education,Li Andersson,Q4935864,2021-06-29,female,1987-05-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Li-Andersson-2%2013AUG2019%20%28cropped%29.jpg
Minister of Employment,Tuula Haatainen,Q11898869,2019-12-10,female,1960-02-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tuula%20Haatainen%20Feb%202020%20%28cropped%29.jpg
Minister of the Environment and Climate Change,Krista Mikkonen,Q11873020,2019-12-10,female,1972-11-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Krista%20Mikkonen%20%28cropped%29.jpg
"Minister for European Affairs, Culture and Sport",Tytti Tuppurainen,Q11898995,2019-12-10,female,1976-02-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Tytti%20Tuppurainen%20%2848137854342%29%20%28cropped%29.jpg
Minister of Family Affairs and Social Services,Krista Kiuru,Q2332874,2019-12-10,female,1974-08-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Krista%20Kiuru%20-%20February%202017%20%28cropped%29.jpg
Minister of Finance,Annika Saarikko,Q7045446,2021-05-27,female,1983-11-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Annika%20Saarikko%202020%20%28cropped%29.jpg
Minister for Foreign Affairs,Pekka Haavisto,Q317485,2019-12-10,male,1958-03-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/UM%20Haavisto%20%28cropped%29.jpg
Minister of the Interior,Maria Ohisalo,Q15281152,2019-12-10,female,1985-03-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Ohisalo%20portrait%202019.jpg
Minister of Justice,Anna-Maja Henriksson,Q2850448,2019-12-10,female,1964-01-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anna-Maja%20Henriksson-12%20%28cropped%29.jpg
Minister of Local Government,Sirpa Paatero,Q16989600,2019-12-10,female,1964-09-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sirpa%20Paatero-16.jpg
Minister for Nordic Cooperation,Thomas Blomqvist,Q5579704,2019-12-10,male,1965-01-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Thomas%20Blomqvist.jpg
Minister of Science and Culture,Antti Kurvinen,Q11852135,2021-05-27,male,1986-07-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Antti%20Kurvinen.JPG
Minister of Social Affairs and Health,Hanna Sarkkinen,Q16990389,2021-06-29,female,1988-04-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hanna%20Sarkkinen.jpg
Minister of Transport and Communications,Timo Harakka,Q16298585,2019-12-10,male,1962-12-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hallituksen%20tiedotustilaisuus%20valmiuslain%20k%C3%A4ytt%C3%B6%C3%B6notosta%20ja%20rajavalvonnasta%2017.3.2020%20%2849669027028%29%20%28cropped%29.jpg
Speaker of the Parliament,Anu Vehviläinen,Q4349014,2020-06-09,female,1963-09-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Anu%20Vehvil%C3%A4inen.jpg
Chancellor of Justice,Tuomas Pöysti,Q23040773,2018-01-01,male,1970-05-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Hallituksen%20neuvottelut%20S%C3%A4%C3%A4tytalossa%203.5.2020%20%2849849289856%29.jpg
Deputy Chancellor of Justice,Mikko Puumalainen,Q16989951,2018-01-01,male,1961-03-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mikko%20Puumalainen%20%28cropped%29.jpg
Prosecutor General,Matti Nissinen,Q16989423,2010-04-01,male,1956-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Matti%20Nissinen.jpg
Chief of Defence,Timo Kivinen,Q16299896,2019-08-01,male,1959-12-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Timo%20Kivinen%202020%20%28cropped%29.jpg
Governor of the Bank of Finland,Olli Rehn,Q294411,2018-07-12,male,1962-03-31,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Olli%20Rehn%20by%20Moritz%20Kosinsky%202.jpg
mayor of Helsinki,Jan Vapaavuori,Q32219,2017-06-01,male,1965-04-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jan%20Vapaavuori%20pormestari.jpg
