position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Yahya Jammeh,Q57356,1996-09-29,2017-01-19,male,1965-05-25,,Yahya Jammeh 2014-08-05.jpg,Yahya Jammeh
President,Adama Barrow,Q27917049,2017-01-19,,male,1965-02-15,,"Adama Barrow, President, Republic of the Gambia - 2018 (cropped).jpg",Adama Barrow
Vice President,Isatou N’jie-Saidy,Q467531,1997-03-20,2017-01-18,female,1952-03-05,,"Isatou Njie Saidy, Gambia vice-president 2006.jpg",Isatou Njie-Saidy
Vice President,Fatoumata Tambajang,Q1398236,2017-11-09,2018-06-29,female,1949-10-22,,Aid for Trade Global Review 2017 – Day 3 (35059631424).jpg,Fatoumata Tambajang
Vice President,Ousainou Darboe,Q710820,2018-06-29,2019-03-15,male,1948-08-08,,Ousainou Darboe 2018.jpg,Ousainou Darboe
Vice President,Isatou Touray,Q27541581,2019-03-15,,female,1955-03-17,,Isatou Touray no Brasil.jpg,Isatou Touray
Minister of Agriculture,Omar A. Jallow,Q29537096,2017-02-01,2018-07-09,male,,,Omar A. Jallow 2017.png,Omar A. Jallow
Minister of Agriculture,Amie Fabureh,Q62577118,2019-03-27,,female,1970,,,Amie Fabureh
Minister of Basic and Secondary Education,Claudiana Cole,Q28836800,2017-02-22,,female,,,,Claudiana Cole
Minister of Defence,Sheikh Omar Faye,Q2277755,2019-08-22,,male,1960-09-13,,,Sheikh Omar Faye
"Minister of Environment, Climate Change and Natural Resources",Lamin B. Dibba,Q28843551,2017-02-01,,male,,,,
Minister of Fisheries and Water Resources,James F. P. Gomez,Q28842314,2017-02-01,,male,,,,
Minister of Finance,Famara Jatta,Q1395088,1997,2003-09-25,male,1958-07-16,2012-03-17,"Famara Jatta, IMF 2002.jpg",Famara Jatta
Minister of Finance,Musa Gibril Bala Gaye,Q1953955,2003-09-15,2009-06,male,1946-08-13,,,Musa Gibril Bala Gaye
Minister of Finance,Abdou Kolley,Q308351,2009-06,2011-01-27,male,1970-01-01,,Abdou Kolley (cropped).jpg,Abdou Kolley
Minister of Finance,Mambury Njie,Q22006596,2011-01-27,2012-04-16,male,1962-06-27,,,Mambury Njie
Minister of Finance,Abdou Kolley,Q308351,2012-04-16,2013-07-10,male,1970-01-01,,Abdou Kolley (cropped).jpg,Abdou Kolley
Minister of Finance,Kebba S. Touray,Q98593632,2013-07-10,2015-03-16,male,,,,
Minister of Finance,Abdou Kolley,Q308351,2015-03-16,2017-01-19,male,1970-01-01,,Abdou Kolley (cropped).jpg,Abdou Kolley
Minister of Finance,Amadou Sanneh,Q28839644,2017-02-01,2019-03-15,male,,,,Amadou Sanneh
Minister of Finance,Mambury Njie,Q22006596,2018-06-29,,male,1962-06-27,,,Mambury Njie
Minister of Foreign Affairs,Momodou Lamin Sedat Jobe,Q1625402,1998,2001,male,1944-07-24,,,Momodou Lamin Sedat Jobe
Minister of Foreign Affairs,Baboucarr-Blaise Jagne,Q797751,2001-08-30,2004-10-14,male,1955-02-11,,,Baboucarr-Blaise Jagne
Minister of Foreign Affairs,Sidi Moro Sanneh,Q2281867,2004-10-14,2005-03-24,male,1947-12-02,,,Sidi Moro Sanneh
Minister of Foreign Affairs,Musa Gibril Bala Gaye,Q1953955,2005-03-24,2005-10,male,1946-08-13,,,Musa Gibril Bala Gaye
Minister of Foreign Affairs,Lamin Kaba Bajo,Q174328,2005-10,2006-10-18,male,1964-11-10,,,Lamin Kaba Bajo
Minister of Foreign Affairs,Maba Jobe,Q1736202,2006-10-20,2006-10-26,male,1964,,,Maba Jobe
Minister of Foreign Affairs,Bala Garba Jahumpa,Q164492,2006-10-26,2007-09,male,1958-07-20,,,Bala Garba Jahumpa
Minister of Foreign Affairs,Crispin Grey-Johnson,Q331152,2007-09,2008-03-19,male,1946-12-07,,,Crispin Grey-Johnson
Minister of Foreign Affairs,Omar Touray,Q2023146,2008-03-19,2009-09,male,1965-11-05,,,Omar Touray
Minister of Foreign Affairs,Ousman Jammeh,Q2041811,2009-09,2010-06,male,1953-08-13,,Ousmanjammeh.jpg,Ousman Jammeh
Minister of Foreign Affairs,Mamadou Tangara,Q1888110,2010-06,2012-04-16,male,1965-06-04,,"Dr Mamadou Tangara, Minister of Foreign Affairs of The Republic of Gambia cropped.jpg",Mamadou Tangara
Minister of Foreign Affairs,Mambury Njie,Q22006596,2012-04-16,2012-08-23,male,1962-06-27,,,Mambury Njie
Minister of Foreign Affairs,Mamadou Tangara,Q1888110,2012-08-23,2012-11-02,male,1965-06-04,,"Dr Mamadou Tangara, Minister of Foreign Affairs of The Republic of Gambia cropped.jpg",Mamadou Tangara
Minister of Foreign Affairs,Susan Waffa-Ogoo,Q2368962,2012-11-02,2013-10-30,female,1960-10-04,,Susan Waffa-Ogoo.jpg,Susan Waffa-Ogoo
Minister of Foreign Affairs,Aboubacar Senghore,Q98590307,2013-11-01,2014-04-09,male,,,,
Minister of Foreign Affairs,Mamour Alieu Jagne,Q96690443,2014-04-09,2014-08-15,male,,,,
Minister of Foreign Affairs,Bala Garba Jahumpa,Q164492,2014-08-25,2015-01-05,male,1958-07-20,,,Bala Garba Jahumpa
Minister of Foreign Affairs,Neneh MacDouall-Gaye,Q1977312,2015-01-05,2017-01-16,female,1957-04-08,,Neneh MacDouall-Gaye.jpg,Neneh MacDouall-Gaye
Minister of Foreign Affairs,Ousainou Darboe,Q710820,2017-02-01,2018-06-29,male,1948-08-08,,Ousainou Darboe 2018.jpg,Ousainou Darboe
Minister of Foreign Affairs,Mamadou Tangara,Q1888110,2018-06-29,,male,1965-06-04,,"Dr Mamadou Tangara, Minister of Foreign Affairs of The Republic of Gambia cropped.jpg",Mamadou Tangara
