position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the National Assembly of Malawi,Lazarus Chakwera,Q16202782,2010,,male,1955-04-05,,Lazarus Chakwera 2017.jpg,Lazarus Chakwera
Member of the National Assembly of Malawi,Clement Chiwaya,Q108906975,2014-05-20,2021-09-30,male,1971-05-16,2021-09-30,,Clement Chiwaya
Member of the National Assembly of Malawi,Henry Mussa,Q16733055,2014-05-20,,male,,,,Henry Mussa
Member of the National Assembly of Malawi,Richard Msowoya,Q18390332,2014-05-20,,male,,,,Richard Msowoya
Member of the National Assembly of Malawi,Grace Chiumia,Q29982289,2014-05-20,,female,1977,,,Grace Chiumia
Member of the National Assembly of Malawi,Francis Kasaila,Q40039690,2014-05-20,,male,1968-10-28,,,
Member of the National Assembly of Malawi,Khumbo Kachali,Q4477067,2014-05-20,,male,1966,,Khumbo-kachali1.jpg,Khumbo Kachali
Member of the National Assembly of Malawi,Aboo Naliwa,Q45779063,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Abubakar M'baya,Q45779418,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Adbul Gaffar,Q45779442,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Aggrey Masi,Q45779467,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Agness Nyalonje,Q45779486,2014-05-20,,female,,,,
Member of the National Assembly of Malawi,Aisha Adams,Q45779512,2014-05-20,,female,,,,
Member of the National Assembly of Malawi,Akajuwe Banda,Q45779534,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Alekeni Menyani,Q45779554,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Alex Chitete,Q45779582,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Alex Major,Q45779603,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Alexander Dzonzi,Q45779624,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Alice Ngoma,Q45779646,2014-05-20,,female,,,,
Member of the National Assembly of Malawi,Allan Ngumuya,Q45779667,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Amon Nkhata,Q45779688,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Amos Mailosi,Q45779701,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Angie Kaliati,Q45779717,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Assan Lipande,Q45779733,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Baudeni Mtonga,Q45779759,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Beatrice Mwale,Q45779780,2014-05-20,,female,,,,
Member of the National Assembly of Malawi,Benedicto Chambo,Q45779804,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Bon Kalindo,Q45779828,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Bonex Malunga,Q45779853,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Boniface Kadzamira,Q45779875,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Canaan Kaphamtengo,Q45779894,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Cecilia Chazama,Q45779916,2014-05-20,,female,1968-11-22,,,Cecilia Chazama
Member of the National Assembly of Malawi,Charles Tikhiwa,Q45779939,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Charles Mchacha,Q45779958,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Chizamsoka Mulwafu,Q45779982,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Chrissy Tembo,Q45780004,2014-05-20,,female,,,,
Member of the National Assembly of Malawi,Christopher Mnyenyembe,Q45780029,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Clarke Lowe,Q45780053,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Clement Mukumbwa,Q45780072,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Clement Mlombwa,Q45780095,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Collings Kajawa,Q45780116,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Commodius Nyirenda,Q45780134,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Damson Chimalira,Q45780157,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Daniel Chiwere,Q45780179,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Daudi Chida,Q45780202,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,David Bisnowaty,Q45780220,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,David Lally,Q45780239,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Davies Kadzinja,Q45780254,2014-05-20,,male,,,,
Member of the National Assembly of Malawi,Dennis Namachekecha,Q45780268,2014-05-20,,male,,,,
