position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Kassym-Jomart Tokayev,Q200881,2019-03-20,male,1953-05-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kassym-Jomart%20Tokayev%20%282020-02-01%29.jpg
Prime Minister,Askar Mamin,Q527063,2019-02-21,male,1965-10-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Askar%20Mamin%20official%20portrait.jpg
Deputy Prime Minister,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mukhtar%20Tileuberdi%20%282020-02-02%29.jpg
Deputy Prime Minister,Sklyar Roman Vasilyevich,Q16436743,2019-09-18,male,1971-05-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Roman%20Sklyar%20%282017-09-26%29%20%28cropped%29.jpg
Deputy Prime Minister,Eraly Togjanov,Q16436597,2020-02-11,male,1963-05-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eraly%20Tugjanov%20%282016-04-06%29.jpg
First Deputy Prime Minister,Alihan Smaiylov,Q56825894,2019-02-25,male,1972-12-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alihan%20Smayilov%20%2826074%29%20%28cropped%29.jpg
Minister of Agriculture,Yerbol Karashukeev,Q108391615,2021-07-01,male,1976-01-01,9,,,
Minister of Culture and Sports,Aqtoty Raiymqulova,Q12532220,2019-06-17,female,1964-05-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mcsgovrkmks.jpg
Minister of Defense,Murat Bektanov,Q28496487,2021-08-31,male,1965-09-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bektanov%20in%202017.jpeg
"Minister of Digital Development, Innovation and Aerospace Industry",Bağdat Musin,Q98103179,2020-09-02,male,1983-03-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mussin%20b%20%28cropped%29.jpg
"Minister of Ecology, Geology and Natural Resources",Serıkqali Brekeşev,Q108498636,2021-09-10,male,1972-10-14,11,,,
Minister of Education and Science,Ashat Aimagambetov,Q65129668,2019-06-13,male,1982-06-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ashat%20Aimagambetov%20%2824112%29%20%28cropped%29.jpg
Minister of Emergency Situations,Yuri Ilyin,Q99693149,2020-09-11,male,1968-04-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Yuri%20Ilyin%20%2829389%29%20%28cropped%29.jpg
Minister of Energy,Magzum Myrzagaliev,Q16436621,2021-09-09,male,1978-11-07,11,,,
Minister of Finance,Erulan Jamaubaev,Q97185700,2020-05-18,male,1974-03-25,11,,,
Minister of Foreign Affairs,Mukhtar Tleuberdi,Q70254110,2019-09-08,male,1968-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mukhtar%20Tileuberdi%20%282020-02-02%29.jpg
Minister of Healthcare,Alexey Tsoi,Q12528339,2020-06-25,male,1977-04-02,11,,,
Minister of Industry and Infrastructure Development,Beibut Bakirovich Atamkulov,Q4072002,2019-09-18,male,1964-05-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Beibut%20Atamkulov.jpg
Minister of Information and Social Development,Aida Balaeva,Q97206977,2020-05-04,female,1974-07-04,11,,,
Minister of Internal Affairs,Erlan Turgymbaev,Q12542039,2019-02-12,male,1962-08-14,11,,,
Minister of Justice,Marat Beketaev,Q28496484,2016-09-13,male,1977-08-29,11,,,
Minister of Labor and Social Protection of the Population,Serik Şapkenov,Q12562169,2021-01-18,male,1979-07-29,11,,,
Minister of National Economy,Aset Ergaliev,Q105026553,2020-01-18,male,1987-06-18,11,,,
Minister of Trade and Integration,Bakhyt Sultanov,Q4445713,2019-07-17,male,1971-11-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bakhyt%20Sultanov%20%2808.2016%29%20%28cropped%29.png
State Secretary,Krymbek Kusherbayev,Q4250192,2019-09-18,male,1955-05-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kusherbayev%20Krymbek.jpg
Head of the Presidential Administration,Erlan Qoşanov,Q29587228,2019-09-18,male,1962-08-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Erlan%20Qo%C5%9Fanov%20%282018-02-12%29%20%28cropped%29.jpg
Head of the Office of the Prime Minister,Galymjan Koishibaev,Q1521334,2019-03-26,male,1968-04-12,11,,,
Secretary of the Security Council,Asset Issekeshev,Q461014,2020-01-16,male,1971-08-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aset%20Isekeshev.jpg
Chairman of the National Security Committee,Karim Massimov,Q209639,2016-09-08,male,1965-06-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karim%20Masimov.jpg
Prosecutor General,Gizat Nurdauletov,Q109497308,2019-03-01,male,,,,,
Governor of the National Bank,Yerbolat Dosayev,Q4167136,2019-02-25,male,1970-05-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Erbolat%20Dosaev%20%2806.2013%29%20%28cropped%29.png
Chair of the Senate,Mäulen Äşimbaev,Q12555734,2020-05-04,male,1971-01-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maulen%20Ashimbaev%2C%202013%20%28cropped%29.JPG
Äkim of Nur-Sultan,Altai Kólginov,Q15070762,2019-06-13,male,1978-01-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kolginov.jpg
