position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Guðni Jóhannesson,Q24045706,2016-08-01,male,1968-06-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gu%C3%B0ni%20Th.%20J%C3%B3hannesson%20at%20the%20Enthronement%20of%20Naruhito%20%281%29.jpg
Prime Minister,Katrín Jakobsdóttir,Q467464,2017-11-30,female,1976-02-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Katr%C3%ADn%20Jakobsd%C3%B3ttir%20%2824539871465%29%20%28cropped%29.jpg
"Minister of Education, Science and Culture",Lilja Dögg Alfreðsdóttir,Q23753778,2017-11-30,female,1973-10-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lilja%20D%C3%B6gg%20Alfre%C3%B0sd%C3%B3ttir.jpg
Minister for the Environment and Natural Resources,Guðmundur Ingi Guðbrandsson,Q44216756,2017-11-30,male,1977-03-28,11,,,
Minister of Finance and Economic Affairs,Bjarni Benediktsson,Q879376,2017-11-30,male,1970-01-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bjarni%20Benediktsson%20vid%20Nordiska%20Radets%20session%20i%20Stockholm.jpg
Minister of Fisheries and Agriculture,Kristján Þór Júlíusson,Q1789402,2017-11-30,male,1957-07-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Kristjan%20thor%20Juliusson%20%28Sj.%29%20Island.jpg
Minister for Foreign Affairs and International Development Cooperation,Guðlaugur Þór Þórðarson,Q1557735,2017-01-11,male,1967-12-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gu%C3%B0laugur%20%C3%9E%C3%B3r%20%C3%9E%C3%B3r%C3%B0arson%20%2819-07-2021%29.jpg
Minister of Health,Svandís Svavarsdóttir,Q438056,2017-11-30,female,1964-08-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Islands%20miljominister%20Svandis%20Svavarsdottir%20vid%20Nordiska%20Radets%20session%20pa%20Island%202010-11-04.jpg
Minister of Justice,Áslaug Arna Sigurbjörnsdóttir,Q27988721,2019-09-06,female,1990-11-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Aslaug-arna.jpg
Minister for Nordic Cooperation,Sigurður Ingi Jóhannsson,Q201075,2017-11-30,male,1962-04-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sigur%C3%B0ur%20Ingi%20J%C3%B3hannsson%20%28cropped%29.jpg
Minister of Social Affairs and Children,Ásmundur Einar Daðason,Q252565,2019-01-01,male,1982-10-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%81smundur%20Einar%20Da%C3%B0ason.jpg
"Minister of Tourism, Industry and Innovation",Þórdís Kolbrún R. Gylfadóttir,Q28734624,2017-01-11,female,1987-11-04,11,,,
Minister of Transport and Local Government,Sigurður Ingi Jóhannsson,Q201075,2017-11-30,male,1962-04-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sigur%C3%B0ur%20Ingi%20J%C3%B3hannsson%20%28cropped%29.jpg
Speaker of the Althing,Steingrímur J. Sigfússon,Q511882,2017-10-29,male,1955-08-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Steingr%C3%ADmur%20J.%20Sigf%C3%BAsson%20norden-1.jpg
Governor of the Central Bank,Asgeir Jonsson,Q4804273,2019-07-01,male,1970-06-21,11,,,
Director General of the Coast Guard,Georg Lárusson,Q3101322,2005-01-01,male,1959-03-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Georg%20L%C3%A1russon.jpg
Mayor of Reykjavík,Dagur B. Eggertsson,Q1151234,2014-06-16,male,1972-06-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/DagurBEggertsson.jpg
