title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
President,2020-02-19,Q57687,Zoran Milanović,male,1966-10-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zoran%20Milanovi%C4%87%20February%202020%20%28cropped%20-%202%29.jpg
Prime Minister,2016-10-19,Q11685764,Andrej Plenković,male,1970-04-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Andrej%20Plenkovi%C4%87%202019%20%28cropped%29.jpg
Deputy Prime Minister,2019-07-19,Q23303210,Zdravko Marić,male,1977-02-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/ZdravkoMaric%20final.jpg
Deputy Prime Minister,2019-07-19,Q2619574,Davor Božinović,male,1961-12-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/20%20obljetnica%20osnivanja%20OS%20RH%20Davor%20Bozinovic%2026052011%202.jpg
Deputy Prime Minister,2020-07-23,Q97671314,Boris Milošević,male,1974-11-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boris%20Milo%C5%A1evi%C4%872.png
Deputy Prime Minister,2020-07-23,Q24641177,Tomo Medved,male,1968-03-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tomo%20Medved.jpg
Finance Minister,2016-01-22,Q23303210,Zdravko Marić,male,1977-02-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/ZdravkoMaric%20final.jpg
Health Minister,2020-01-31,Q86458127,Vili Beroš,male,1964-12-13,11,,,
Minister of Agriculture,2019-07-22,Q65922777,Marija Vučković,female,1974-07-03,11,,,
"Minister of Construction, Physical Planning and State Property",2020-07-23,Q54810256,Darko Horvat,male,1970-09-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/DarkoHorvat%20final.jpg
Minister of Culture,2016-10-19,Q27468700,Nina Obuljen Koržinek,female,1970-05-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nina%20Obuljen%20Korzinek.jpg
Minister of Defence,2020-07-23,Q65922962,Mario Banožić,male,1979-03-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mario%20Bano%C5%BEi%C4%87%20%28cropped%29.jpg
Minister of Economy and Sustainable Development,2020-07-23,Q27537240,Tomislav Ćorić,male,1979-11-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tomislav%20%C4%86ori%C4%87%20%28cropped%29.jpg
Minister of Foreign and European Affairs,2019-07-22,Q46511044,Gordan Grlić-Radman,male,1958-06-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/2019%20Gordan%20Grli%C4%87%20Radman%20%2848742779146%29%20%28cropped%29.jpg
Minister of Justice,2020-07-24,Q65704442,Ivan Malenica,male,1985-07-21,11,,,
Minister of Labour and Pension System,2019-07-19,Q65922295,Josip Aladrović,male,1985-03-10,11,,,
"Minister of Maritime Affairs, Transport and Infrastructure",2016-01-22,Q26248569,Oleg Butković,male,1979-05-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/OlegButkovic%20final.jpg
Minister of Regional Development and EU Funds,2020-07-23,Q97654605,Nataša Tramišak,female,1982-05-06,11,,,
Minister of Science and Education,2020-07-23,Q12640934,Radovan Fuchs,male,1953-09-05,11,,,
Minister of the Interior,2017-06-09,Q2619574,Davor Božinović,male,1961-12-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/20%20obljetnica%20osnivanja%20OS%20RH%20Davor%20Bozinovic%2026052011%202.jpg
Minister of Tourism and Sport,2020-07-23,Q83985420,Nikolina Brnjac,female,1978-07-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/EU%20budget%20debate%20ahead%20of%20crucial%20summit%20-%20with%20Nikolina%20Brnjac%20%28Council%29%20%2849524883806%29.jpg
Minister of Veterans Affairs,2016-03-21,Q24641177,Tomo Medved,male,1968-03-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tomo%20Medved.jpg
Speaker of the Croatian Parliament,2017-05-05,Q1337804,Gordan Jandroković,male,1967-08-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gordan%20Jandrokovi%C4%87%2025-06-09.jpg
Chief of the General Staff of the Armed Forces,2020-03-01,Q16116138,Robert Hranj,male,,,,,
Governor of the Central Bank,2012-07-08,Q12628155,Boris Vujčić,male,1964-06-02,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Boris%20Vuj%C4%8Di%C4%87.jpg
mayor of Zagreb,2021-06-04,Q96250350,Tomislav Tomašević,male,1982-01-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/ZagrebIsOURS%20TomislavTomasevic%20IMG%204235-saved-for-web-5-1-800x510.jpg
