position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Emmanuel Macron,Q3052772,2017-05-14,male,1977-12-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20Macron%20%28cropped%29.jpg
Prime Minister,Jean Castex,Q3171170,2020-07-03,male,1965-06-25,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20Jean%20Castex%20%28cropped%29.jpg
Minister of Agriculture and Food,Julien Denormandie,Q30459912,2020-07-06,male,1980-08-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Julien%20Denormandie%202018%20%28cropped%29.jpg
Minister of the Armed Forces,Florence Parly,Q3074013,2017-06-21,female,1963-05-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%28Florence%20Parly%29%20190907-D-BN624-0170%20%2848694393657%29%20%28cropped%29.jpg
Minister of City Affairs,Nadia Hai,Q30343155,2020-07-06,female,1980-03-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nadia%20Hai.jpg
Minister of the Civil Service,Amélie de Montchalin,Q30379410,2020-07-06,female,1985-06-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Am%C3%A9lie%20de%20Montchalin.jpg
Minister of Culture,Roselyne Bachelot,Q436173,2020-07-06,female,1946-12-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Roselyne%20Bachelot%20-%20Narquin.jpg
Minister of Ecological and Solidary Transition,Barbara Pompili,Q117402,2020-07-06,female,1975-06-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara%20pompili.jpg
"Minister of the Economy, Finances and Industry",Bruno Le Maire,Q993472,2017-06-21,male,1969-04-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bruno%20Le%20Maire%20par%20Claude%20Truong-Ngoc%20novembre%202014.jpg
Minister of Europe and Foreign Affairs,Jean-Yves Le Drian,Q559040,2017-06-21,male,1947-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Tour%20Bretagne0074.jpg
Minister of European Affairs,Clément Beaune,Q33172434,2020-07-25,male,1981-08-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Cl%C3%A9ment%20Beaune.jpg
Minister of Foreign Trade,Franck Riester,Q64463,2020-07-06,male,1974-01-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Franck%20Riester%202019%20%28cropped%29.jpg
"Minister of Higher Education, Research and Innovation",Frédérique Vidal,Q28950190,2017-05-17,female,1964-05-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fr%C3%A9d%C3%A9rique%20Vidal%20-%202019%20%28cropped%29.jpg
Minister of the Interior,Gérald Darmanin,Q3123610,2020-07-06,male,1982-10-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20portrait%20de%20G%C3%A9rald%20DARMANIN.jpg
Minister of Justice,Éric Dupond-Moretti,Q3591105,2020-07-06,male,1961-04-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89ric%20Dupond-Moretti%2C%202018%20%28cropped%29.jpg
Minister of Labour,Élisabeth Borne,Q20020731,2020-07-06,female,1961-04-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Informal%20meeting%20of%20energy%20and%20transport%20ministers%20%28TTE%29.%20Arrivals%2C%20transport%20ministers%20Elisabeth%20Borne%20%2837190062412%29%20%28cropped%29.jpg
Minister of National Education,Jean-Michel Blanquer,Q3167954,2017-06-21,male,1964-12-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Michel%20Blanquer%20-%202017.jpg
Minister for Overseas France,Sébastien Lecornu,Q20089181,2020-07-06,male,1986-06-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%A9bastien%20Lecornu%2C%202017%20%28cropped%29.jpg
Minister of the Sea,Annick Girardin,Q2851582,2020-07-06,female,1964-08-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Portrait%20d%27Annick%20Girardin%20%28cropped%29.jpg
Minister for Solidarity and Health,Olivier Véran,Q3332699,2020-02-16,male,1980-04-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Olivier%20V%C3%A9ran%20-%20Juillet%202012.jpg
Minister of State for Biodiversity,Bérangère Abba,Q30339386,2020-07-25,female,1976-10-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A9rang%C3%A8re%20Abba.jpg
Minister of State for Children and Families,Adrien Taquet,Q30344625,2020-07-01,male,1977-01-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Adrien%20taquet%2016467.jpg
Minister of State for Disabled People,Sophie Cluzel,Q3490886,2017-05-17,female,1961-01-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sophie%20Cluzel%202018-04-06%20lancement%20strat%C3%A9gie%20autisme%202018-2022%20%283%29.jpg
Minister of State for Pensions and Occupational Health,Laurent Pietraszewski,Q30385534,2019-12-17,male,1966-11-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Laurent%20Pietraszewski%202017.jpg
Minister of State for Priority Education Policy,Nathalie Elimas,Q30511578,2020-07-01,female,1973-06-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/PAGE%203%20-%20DANS%20L%27HEMICYCLE%20ASSEMBLEE%20NATIONALE.jpg
Minister of State for Rural Affairs,Joël Giraud,Q637002,2020-07-06,male,1959-10-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%ABl%20Giraud.jpg
"Minister of State for Tourism, French Nationals Abroad and Francophonie",Jean-Baptiste Lemoyne,Q18202528,2020-07-25,male,1977-09-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Lemoyne%20%28cropped%29.jpg
