position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Abdiqasim Salad Hassan,Q308184,2000-08-27,2004-10-14,male,1941-01-01,,,Abdiqasim Salad Hassan
President,Abdullahi Yusuf Ahmed,Q215585,2004-10-14,2008-12-29,male,1934-12-15,2012-03-23,Abdullahi Yusuf Ahmed (28-03-2006).jpg,Abdullahi Yusuf Ahmed
President,Adan Mohamed Nuur Madobe,Q2744150,2008-12-29,2009-01-31,male,1956-04-15,,Adan.png,Aden Madobe
President,Sharif Sheikh Ahmed,Q270783,2009-01-31,2012-08-20,male,1964-07-25,,"Sharif Sheikh Ahmed, 12th AU Summit, 090202-N-0506A-337-2.jpg",Sharif Sheikh Ahmed
President,Muse Hassan Sheikh Sayid Abdulle,Q6940437,2012-08-20,2012-08-28,male,1940-12-25,,Muse Hassan Abdulle.jpg,Muse Hassan Sheikh Sayid Abdulle
President,Mohamed Osman Jawari,Q646182,2012-08-28,2012-09-16,male,1945-12-07,,2012 10 24 AMISOM Parliament Speaker E (8134659905).jpg,Mohamed Osman Jawari
President,Hassan Sheikh Mohamud,Q319153,2012-09-10,2017-02-16,male,1955-11-29,,Hassan Sheikh Mohamud 2013.jpg,Hassan Sheikh Mohamud
President,Mohamed Abdullahi Farmajo,Q558575,2017-02-08,,male,1962-03-11,,Mohamed Abdullahi Mohamed (2020-07-22) (cropped).jpg,Mohamed Abdullahi Mohamed
Prime Minister,Ali Khalif Galaydh,Q1397035,2000-10-08,2001-10-28,male,1941-10-15,2020-10-08,Dr. Ali Khalif Galaydh Photo.JPG,Ali Khalif Galaydh
Prime Minister,Osman Jama Ali,Q732073,2001-10-28,2001-11-12,male,1941,,,Osman Jama Ali
Prime Minister,Hassan Abshir Farah,Q572660,2001-11-12,2003-12-08,male,1945-06-20,2020-07-12,,Hassan Abshir Farah
Prime Minister,Abdi Yusuf hussein,Q1397020,2003-12-08,2004-11-03,male,1941-07-01,,,Muhammad Abdi Yusuf
Prime Minister,Ali Mohammed Ghedi,Q355468,2004-12-23,2007-10-30,male,1952-10-02,,Ali Mohammed Ghedi (28-03-2006).jpg,Ali Mohammed Ghedi
Prime Minister,Salim Aliyow Ibrow,Q1380263,2007-10-30,2007-11-24,male,,,Salim Aliyow Ibrow.jpg,Salim Aliyow Ibrow
Prime Minister,Nur Hassan Hussein,Q451302,2007-11-24,2009-02-14,male,1938-02-16,2020-04-01,Nur Hassan Hussein.jpg,Nur Hassan Hussein
Prime Minister,Omar Abdirashid Ali Sharmarke,Q57899,2009-02-14,2010-09-24,male,1960-06-18,,Omarasharmarke2.jpg,Omar Sharmarke
