title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
French Co-Prince,2017-05-14,Q3052772,Emmanuel Macron,male,1977-12-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Emmanuel%20Macron%20%28cropped%29.jpg
Episcopal Co-Prince,2003-05-12,Q57473,Joan Enric Vives Sicília,male,1949-07-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Mons.%20Vives%20%2830612833490%29.jpg
Prime Minister,2019-05-16,Q21001195,Xavier Espot Zamora,male,1979-10-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Xavier%20Espot%20Zamora%20Andorra%20Est%C3%B2nia%20%28cropped%29.jpg
Minister of Culture and Sport,2019-05-30,Q21012236,Sílvia Riva González,female,1979-03-18,11,,,
Minister of Education and Culture,2019-05-22,Q65038596,Ester Vilarrubla i Escales,female,1965-01-01,9,,,
"Minister of the Environment, Agriculture, and Sustainability",2015-01-01,Q58009929,Silvia Calvó i Armengol,female,1969-10-15,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/S%C3%ADlvia%20Calv%C3%B3%20Armengol%20a%20l%27assemblea%20de%20l%27OSCE%202017%20%28cropped%29.jpg
Minister of Finance,2019-05-22,Q100732936,Èric Jover,male,,,,,
Minister of Foreign Affairs,2017-07-17,Q55955802,Maria Ubach,female,1973-06-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Maria%20Ubach%20Font%20%2832384849308%29%20%28cropped%29.jpg
Minister of Health,2019-05-22,Q88194125,Joan Martínez Benazet,male,1954-01-01,9,,,
Minister of Justice and the Interior,2019-05-22,Q107981779,Josep Maria Rossell Pons,,,,,,
"Minister of the Presidency, Economy and Business",2019-05-21,Q56403525,Jordi Gallardo Fernández,male,1976-03-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jordi%20Gallardo%20%28retallat%29.png
Minister of Public Administration and Citizen Participation,2021-07-12,Q108500714,Trini Marín González,female,1964-01-01,9,,,
"Minister of Social Affairs, Youth and Equality",2021-05-20,Q56403529,Judith Pallarés Cortés,female,1972-08-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Judith%20Pallar%C3%A9s.jpg
Minister of Territorial Management and Housing,2021-05-20,Q107981776,Víctor Filloy Franco,,,,,,
Minister of Tourism,2021-05-20,Q107981821,Jordi Torres Falcó,,,,,,
Mayor of Andorra la Vella,2015-12-28,Q2996190,Contxita Marsol Riart,female,1960-08-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%28Conxita%20Marsol%29%20Apuesta%20de%20los%20Gobiernos%20locales%20iberoamericanos%20por%20la%20autonom%C3%ADa%2C%20la%20participaci%C3%B3n%20y%20la%20educaci%C3%B3n.jpg
