position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Egils Levits,Q348043,2019-07-08,male,1955-06-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Egils%20Levits.jpg
Prime Minister,Krišjānis Kariņš,Q3736499,2019-01-23,male,1964-12-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karins%2C%20Krisjanis-9702.jpg
Deputy Prime Minister,Jānis Bordāns,Q3191217,2019-01-23,male,1967-06-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C4%81nis%20Bord%C4%81ns.jpg
Deputy Prime Minister,Artis Pabriks,Q713138,2019-01-23,male,1966-03-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Artis%20Pabriks%202018%20%28cropped%29.jpg
Minister of Agriculture,Kaspars Gerhards,Q6111944,2019-01-23,male,1969-02-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Izgl%C4%ABt%C4%ABbas%20un%20zin%C4%81tnes%20ministrijas%2C%20Vides%20aizsardz%C4%ABbas%20un%20re%C4%A3ion%C4%81l%C4%81s%20att%C4%ABst%C4%ABbas%20ministrijas%20un%20UNESCO%20Latvijas%20Nacion%C4%81l%C4%81s%20komisijas%20sadarb%C4%ABbas%20l%C4%ABguma%20parakst%C4%AB%C5%A1ana%20%2837341129046%29.jpg
Minister of Culture,Nauris Puntulis,Q56449573,2019-07-08,male,1961-07-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nauris%20Puntulis%20in%202019.jpg
Minister of Defence,Artis Pabriks,Q713138,2019-01-23,male,1966-03-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Artis%20Pabriks%202018%20%28cropped%29.jpg
Minister of the Economy,Jānis Vitenbergs,Q58371528,2021-06-03,male,1985-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C4%81nis%20Vitenbergs%20in%202019.jpg
Minister of Education and Science,Anita Muižniece,Q58371500,2021-06-03,female,1987-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/13.Saeimas%20deput%C4%81tu%20svin%C4%ABgais%20sol%C4%ABjums%20%2845056774714%29.jpg
Minister for Environmental Protection and Regional Development,Artūrs Toms Plešs,Q58371508,2020-12-17,male,1992-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/13.Saeimas%20deput%C4%81tu%20svin%C4%ABgais%20sol%C4%ABjums%20%2844868562475%29.jpg
Minister of Finance,Jānis Reirs,Q11731915,2019-01-23,male,1961-09-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C4%81nis%20Reirs.jpg
Minister of Foreign Affairs,Edgars Rinkēvičs,Q3047551,2011-10-25,male,1973-09-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Edgars%20Rink%C4%93vi%C4%8Ds%202019%20%28cropped%29.jpg
Minister of Health,Daniels Pavļuts,Q3015072,2021-01-08,male,1976-05-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Daniels%20Pav%C4%BCuts.jpg
Minister of the Interior,Marija Golubeva,Q58371482,2021-06-03,female,1973-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/13.Saeimas%20deput%C4%81tu%20svin%C4%ABgais%20sol%C4%ABjums%20%2845781418991%29.jpg
Minister of Justice,Jānis Bordāns,Q3191217,2019-01-23,male,1967-06-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/J%C4%81nis%20Bord%C4%81ns.jpg
Minister of Transport,Tālis Linkaits,Q58371498,2019-01-23,male,1970-08-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/T%C4%81lis%20Linkaits%20in%202018.jpg
Minister of Welfare,Gatis Eglītis,Q58371477,2021-06-03,male,1978-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/13.Saeimas%20deput%C4%81tu%20svin%C4%ABgais%20sol%C4%ABjums%20%2845781402131%29.jpg
Chief of Staff to the Prime Minister,Jānis Patmalnieks,Q109248397,2019-01-24,,,,,,
Speaker of the Saeima,Ināra Mūrniece,Q4308133,2014-11-04,female,1970-12-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/11.Saeimas%20deput%C4%81te%20In%C4%81ra%20M%C5%ABrneice%20%286276356526%29.jpg
Commander of the National Guard,Egils Leščinskis,Q66988815,2019-05-30,male,1967-07-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Egils%20Le%C5%A1%C4%8Dinskis%20in%202019.jpg
Governor of the National Bank,Mārtiņš Kazāks,Q78191477,2019-12-21,male,1973-09-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gada%20p%C4%81rskats%20%22Latvijas%20valstij%20piedero%C5%A1ie%20akt%C4%ABvi%202009%22%20%284971284722%29.jpg
Mayor of Riga,Mārtiņš Staķis,Q58371519,2020-10-02,male,1979-07-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/13.Saeima%20san%C4%81k%20uz%20pirmo%20s%C4%93di%20%2830811926717%29%20cropped.jpg
