position,person,personID,start,gender,DOB,DOD,image,enwiki
Beretitenti (President),Taneti Maamau,Q23034482,2016-03-11,male,1960-09-16,,Taneti Mamau.jpg,Taneti Maamau
Kauoman-ni-Beretitenti (Vice President),Teuea Toatu,Q35382382,2019-06-19,male,,,Teuea Toatu.jpg,Teuea Toatu
Minister for Commerce and Industry & Cooperative,Booti Nauan,Q109715109,2020-07-02,,,,,
Minister for Education,Alexander Teabo,Q108810773,2020-07-10,,,,,
Minister for Employment and Human Resources,Taabeta Teakai,Q109237242,2020-07-02,female,,,,Taabeta Teakai
"Minister for Environment, Lands and Agriculture Development",Ruateki Tekaiara,Q108810790,2020-07-02,,,,,
Minister for Finance and Economic Development,Teuea Toatu,Q35382382,2016-03-15,male,,,Teuea Toatu.jpg,Teuea Toatu
Minister for Fisheries and Marine Resources Development,Ribwanataake Awira,Q109715074,2020-07-02,,,,,
Minister for Health and Medical Services,Tinte Itinteang,Q40773814,2020-07-02,,,,,
"Minister for Information, Communication, Transport and Tourism Development",Tekeeua Tarati,Q98118396,2020-07-11,male,1971-04-12,,Tekeeua Tarati.png,Tekeeua Tarati
Minister for Infrastructure and Sustainable Development,Willie Tokataake,Q98122545,2020-07-02,male,,,,Willie Tokataake
Minister for Internal Affairs,Boutu Bateriki,Q108810793,2020-07-02,,,,,
Minister of Justice,Tarakabu Tofinga,Q109715128,2020-07-02,,,,,
Minister for Lines and Phoenix Islands Development,Mikarite Temari,Q108810781,2020-08-06,,,,,
"Minister for Women, Youth, Sports and Social Affairs",Martin Moreti,Q109715114,2020-07-02,,,,,
Minister for the Office of te Beretitenti,Taneti Maamau,Q23034482,2020-07-02,male,1960-09-16,,Taneti Mamau.jpg,Taneti Maamau
Attorney General,Tetiro Semilota,Q109715329,2016-09-30,female,,,,
Speaker of the House of Assembly,Tangariki Reete,Q65373765,2020-05-22,female,1967,,,Tangariki Reete
