position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Beretitenti (President),Teburoro Tito,Q965155,1994-10-01,2003-03-28,male,1953-08-25,,Teburoro Tito in Maldives (cropped).jpg,Teburoro Tito
Beretitenti (President),Tion Otang,Q4250160,2003-03-28,2003-07-10,male,,,,Tion Otang
Beretitenti (President),Anote Tong,Q57456,2003-07-10,2016-03-11,male,1952-06-11,,Anote Tong (1) (cropped).jpg,Anote Tong
Beretitenti (President),Taneti Maamau,Q23034482,2016-03-11,,male,1960-09-16,,Taneti Mamau.jpg,Taneti Maamau
Kauoman-ni-Beretitenti (Vice President),Tewareka Tentoa,Q11249896,1994-10-01,2000-11-03,male,,2000-11-03,,Tewareka Tentoa
Kauoman-ni-Beretitenti (Vice President),Beniamina Tinga,Q4887927,2000-11-17,2003-07-10,male,,,,Beniamina Tinga
Kauoman-ni-Beretitenti (Vice President),Teima Onorio,Q1268309,2003-07-10,2016-03-12,female,1963,,Teima Onorio.jpg,Teima Onorio
Kauoman-ni-Beretitenti (Vice President),Kourabi Nenem,Q23771906,2016-03-13,2019-05,male,,,10.28 副總統迎接「吉里巴斯共和國副總統暨公共工程部長芮南閣下伉儷」一行 (30613558115).jpg,Kourabi Nenem
Kauoman-ni-Beretitenti (Vice President),Teuea Toatu,Q35382382,2019-06-19,,male,,,Teuea Toatu.jpg,Teuea Toatu
Minister for Commerce and Industry & Cooperative,Booti Nauan,Q109715109,2020-07-02,,,,,,
Minister for Education,Alexander Teabo,Q108810773,2020-07-10,,male,,,,
Minister for Employment and Human Resources,Taabeta Teakai,Q109237242,2020-07-02,,female,,,,Taabeta Teakai
"Minister for Environment, Lands and Agriculture Development",Ruateki Tekaiara,Q108810790,2020-07-02,,,,,,
Minister for Finance and Economic Development,Teuea Toatu,Q35382382,2016-03-15,,male,,,Teuea Toatu.jpg,Teuea Toatu
Minister for Fisheries and Marine Resources Development,Ribwanataake Awira,Q109715074,2020-07-02,,,,,,
Minister for Health and Medical Services,Tinte Itinteang,Q40773814,2020-07-02,,,,,,
"Minister for Information, Communication, Transport and Tourism Development",Willie Tokataake,Q98122545,2016,2020-07-11,male,,,,Willie Tokataake
"Minister for Information, Communication, Transport and Tourism Development",Tekeeua Tarati,Q98118396,2020-07-11,,male,1971-04-12,,Tekeeua Tarati.png,Tekeeua Tarati
Minister for Infrastructure and Sustainable Development,Willie Tokataake,Q98122545,2020-07-02,,male,,,,Willie Tokataake
Minister for Internal Affairs,Boutu Bateriki,Q108810793,2020-07-02,,,,,,
Minister of Justice,Tarakabu Tofinga,Q109715128,2020-07-02,,,,,,
Minister for Lines and Phoenix Islands Development,Mikarite Temari,Q108810781,2020-08-06,,male,,,,
"Minister for Women, Youth, Sports and Social Affairs",Tangariki Reete,Q65373765,2013-10-15,2016-03-11,female,1967,,,Tangariki Reete
"Minister for Women, Youth, Sports and Social Affairs",Martin Moreti,Q109715114,2020-07-02,,male,,,,
Minister for the Office of te Beretitenti,Taneti Maamau,Q23034482,2020-07-02,,male,1960-09-16,,Taneti Mamau.jpg,Taneti Maamau
Attorney General,Tetiro Semilota,Q109715329,2016-09-30,,female,,,,
Speaker of the House of Assembly,Taomati Iuta,Q3560981,2007-09-17,2011-10-20,male,1939-05-02,2016-06-05,Таомати Иута.png,Taomati Iuta
Speaker of the House of Assembly,Tangariki Reete,Q65373765,2020-05-22,,female,1967,,,Tangariki Reete
