position,person,personID,start,gender,DOB,DOD,image
First Minister,Mark Drakeford,Q6767407,2018-12-13,male,1954-09-19,,Mark Drakeford (cropped).jpg
Minister for Children and Social Care,Huw Irranca-Davies,Q691388,2017-11-03,male,1963-01-22,,Huw Irranca Davies.jpg
Minister for Climate Change,Julie James,Q6308284,2021-05-13,female,1957-02-25,,Julie James - National Assembly for Wales.jpg
Minister for Economy,Vaughan Gething,Q7917285,2021-05-13,male,1974-03-15,,Vaughan Gething.jpg
Minister for Education and Welsh Language,Jeremy Miles,Q24706040,2021-05-13,male,1971-08,,Jeremy Miles AM (28170809995).jpg
Minister for Health and Social Services,"Eluned Morgan, Baroness Morgan of Ely",Q336521,2021-05-13,female,1967-02-16,,Eluned Morgan AM (28136582086).jpg
Minister for Local Government,Rebecca Evans,Q7301733,2021-05-13,female,1976-08-02,,Rebecca Evans - National Assembly for Wales.jpg
Minister for North Wales,Lesley Griffiths,Q6530486,2021-05-13,female,1960,,Lesley Griffiths.jpg
Minister for Social Justice,Jane Hutt,Q6152404,2021-05-13,female,1949-12-15,,Jane Hutt.jpg
Deputy Minister for Arts and Sport,Dawn Bowden,Q24050164,2021-05-13,female,1960-02-14,,Dawn Bowden AM (28066510182).jpg
Deputy Minister for Climate Change,Lee Waters,Q24039661,2021-05-13,male,1976-02-12,,Lee Waters AM (28066509142).jpg
Deputy Minister for Mental Health and Wellbeing,Lynne Neagle,Q6709399,2021-05-13,female,1968-01-18,,Lynne Neagle.jpg
Deputy Minister for Social Partnership,Hannah Blythyn,Q24039145,2021-05-13,female,1979-04-17,,Hannah Blythyn AM (27555185853).jpg
Deputy Minister for Social Services,Julie Morgan,Q6308404,2021-05-13,female,1944-11-02,,Julie Morgan.jpg
Trefnydd,Lesley Griffiths,Q6530486,2021-05-13,female,1960,,Lesley Griffiths.jpg
Chief Whip,Dawn Bowden,Q24050164,2021-05-13,female,1960-02-14,,Dawn Bowden AM (28066510182).jpg
Counsel General,Mick Antoniw,Q6838044,2021-05-13,male,1954-09-01,,Mick Antoniw 2011.jpg
