position,person,personID,start,gender,DOB,DOD,image,enwiki
monarch,Carl XVI Gustaf of Sweden,Q45068,1973-09-15,male,1946-04-30,,Carlos Gustavo da Suécia (meio corpo).jpg,Carl XVI Gustaf
Prime Minister,Stefan Löfven,Q2740012,2014-10-03,male,1957-07-21,,Stefan Löfven efter slutdebatten i SVT 2014 (cropped).jpg,Stefan Löfven
Vice Prime Minister of Sweden,Per Bolund,Q5581337,2021-02-05,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Deputy Prime Minister of Sweden,Morgan Johansson,Q5887217,2019-09-10,male,1970-05-14,,Morgan Johansson i GAPF-manifestation 2014.jpg,Morgan Johansson
Minister of Civil Affairs,Lena Micko,Q4967237,2019-10-01,female,1955-06-18,,Lena Micko.jpg,Lena Micko
Minister for the Climate,Per Bolund,Q5581337,2021-02-05,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Minister for Communications and Regional Policy,Tomas Eneroth,Q5711551,2017-07-27,male,1966-12-04,,Tomas Eneroth in London - 2017 (24832532058) (cropped).jpg,Tomas Eneroth
Minister for Culture,Amanda Lind,Q24018140,2019-01-21,female,1980-08-02,,Amanda Lind - 2019 (48176996067) (cropped).jpg,Amanda Lind
Minister for Defence,Peter Hultqvist,Q3370162,2014-10-03,male,1958-12-31,,Peter Hultqvist.jpg,Peter Hultqvist
Minister of Democracy,Amanda Lind,Q24018140,2019-01-21,female,1980-08-02,,Amanda Lind - 2019 (48176996067) (cropped).jpg,Amanda Lind
Minister for Domestic Affairs,Mikael Damberg,Q3372917,2019-01-21,male,1971-10-13,,Socialdemokrat.Mikael Damberg 1c301 5899.jpg,Mikael Damberg
Minister for EU Affairs,Hans Dahlgren,Q5615474,2021-07-09,male,1948-03-16,,Hans Dahlgren (cropped).jpg,Hans Dahlgren
Minister for Education and Science,Anna Ekström,Q4946204,2019-01-21,female,1959-06-23,,Anna Ekström 01.JPG,Anna Ekström
Minister of Employment,Eva Nordmark,Q4970111,2019-09-10,female,1971-02-21,,Eva Nordmark.jpg,Eva Nordmark
Minister for Energy,Anders Ygeman,Q3375050,2019-01-21,male,1970-06-17,,Socialdemokrat.anders ygeman 1c323 8147.jpg,Anders Ygeman
Minister for Enterprise,İbrahim Baylan,Q3055916,2019-01-21,male,1972-03-15,,"Ibrahim Baylan, Skolforum 2012 01 (cropped).JPG",Ibrahim Baylan
Minister for the Environment,Per Bolund,Q5581337,2021-02-05,male,1971-07-03,,Per Bolund 2014.jpg,Per Bolund
Minister for Finance,Magdalena Andersson,Q4935873,2014-10-03,female,1967-01-23,,Magdalena Andersson.jpg,Magdalena Andersson
Minister for Financial Markets,Åsa Lindhagen,Q23916255,2021-02-05,female,1980-05-15,,ÅsaLindhagen.jpg,Åsa Lindhagen
Minister for Foreign Affairs,Ann Linde,Q18243775,2019-09-10,female,1961-12-04,,Annlindecropped.jpg,Ann Linde
Minister for Gender Equality Affairs,Märta Stenevi,Q64524335,2021-02-05,female,1976-03-30,,Märta Stenevi 2016.jpg,Märta Stenevi
Minister for Higher Education and Science,Matilda Ernkrans,Q3373058,2019-01-21,female,1973-03-12,,Socialdemokrat.Matilda Ernkrans 1c301 5961.jpg,Matilda Ernkrans
Minister for Housing,Märta Stenevi,Q64524335,2021-02-05,female,1976-03-30,,Märta Stenevi 2016.jpg,Märta Stenevi
Minister for Information Technology,Anders Ygeman,Q3375050,2019-01-21,male,1970-06-17,,Socialdemokrat.anders ygeman 1c323 8147.jpg,Anders Ygeman
Minister for International Development Cooperation,Per Olsson Fridh,Q19977122,2021-02-05,male,1981-06-27,,Per Olsson.jpg,Per Olsson Fridh
Minister for Justice,Morgan Johansson,Q5887217,2014-10-03,male,1970-05-14,,Morgan Johansson i GAPF-manifestation 2014.jpg,Morgan Johansson
Minister for Migration,Morgan Johansson,Q5887217,2019-01-21,male,1970-05-14,,Morgan Johansson i GAPF-manifestation 2014.jpg,Morgan Johansson
Minister for Nordic Cooperation,Anna Hallberg,Q67207189,2019-09-10,female,1963-11-19,,Anna Hallberg visited the USTR.jpg,Anna Hallberg
Minister for Social Affairs,Lena Hallengren,Q3431836,2019-01-21,female,1973-12-25,,Socialdemokrat.Lena Hallengren 1c301 5973.jpg,Lena Hallengren
Minister for Social Security,Ardalan Shekarabi,Q4787806,2019-10-01,male,1978-11-28,,Ardalan Shekarabi.jpg,Ardalan Shekarabi
Minister of Trade,Anna Hallberg,Q67207189,2019-09-10,female,1963-11-19,,Anna Hallberg visited the USTR.jpg,Anna Hallberg
Speaker of the Riksdag,Andreas Norlén,Q4755577,2018-09-24,male,1973-05-06,,Andreas Norlén in 2019.jpg,Andreas Norlén
Chancellor of Justice,Mari Heidenborg,Q31671956,2018-09-01,female,1961-08-18,,,
President of Sveriges Riksbank,Stefan Ingves,Q1811970,2006-01-01,male,1953-05-23,,"Stefan Ingves, Riksbankschef.jpg",Stefan Ingves
Supreme Commander of the Armed Forces,Micael Bydén,Q13855693,2015-10-01,male,1964-06-13,,General Micael Bydén.jpg,Micael Bydén
