position,person,personID,start,end,gender,DOB,DOD,image,enwiki
President,Shahabuddin Ahmed,Q465481,1996-10-09,2001-11-14,male,1930-02-01,,,Shahabuddin Ahmed
President,A. Q. M. Badruddoza Chowdhury,Q278403,2001-11-14,2002-06-21,male,1932-11-01,,,A. Q. M. Badruddoza Chowdhury
President,Muhammad Jamiruddin Sircar,Q4159817,2002-06-21,2002-09-06,male,1931-12-01,,,Muhammad Jamiruddin Sircar
President,Iajuddin Ahmed,Q165672,2002-09-06,2009-02-12,male,1931-02-01,2012-12-10,,Iajuddin Ahmed
President,Zillur Rahman,Q57485,2009-02-12,2013-03-20,male,1929-03-09,2013-03-20,"Zillur Rahman in Neubrandenburg, Germany in 1973.jpg",Zillur Rahman
President,Abdul Hamid,Q3246667,2013-03-14,,male,1944-01-01,,"President of People’s Republic of Bangladesh, Mr. Md. Abdul Hamid, at Hyderabad House, in New Delhi on May 31, 2019.jpg",Abdul Hamid (politician)
Prime Minister,Sheikh Hasina,Q52183,1996-06-23,2001-07-15,female,1947-09-28,,Sheikh Hasina in London cropped.jpg,Sheikh Hasina
Prime Minister,Khaleda Zia,Q234814,2001-10-10,2006-10-29,female,1945,,"Begum Zia Book-opening Ceremony, 1 Mar, 2010.jpg",Khaleda Zia
Prime Minister,Iajuddin Ahmed,Q165672,2006-10-29,2007-01-11,male,1931-02-01,2012-12-10,,Iajuddin Ahmed
Prime Minister,Fazlul Haque,Q5439229,2007-01-11,2007-01-12,male,1938-06-30,,,Fazlul Haque (judge)
Prime Minister,Fakhruddin Ahmed,Q560060,2007-01-12,2009-01-06,male,1940-05-01,,Fakhruddin Ahmed - WEF Annual Meeting Davos 2008.jpg,Fakhruddin Ahmed
Prime Minister,Sheikh Hasina,Q52183,2009-01-06,,female,1947-09-28,,Sheikh Hasina in London cropped.jpg,Sheikh Hasina
Minister of Agriculture,Abdur Razzak,Q16057946,2019-01,,male,1950-02-01,,"Dr. Muhammad Abdur Razzaque in New Delhi on February 12, 2011.jpg",Mohammad Abdur Razzaque
Minister of Chittagong Hill Tracts Affairs,Ushwe Sing,Q26924794,2019-01-07,,male,1960-01-10,,,Ushwe Sing
Minister of Commerce,Tipu Munshi,Q52161621,2019-01,,male,1950,,Tipu Munshi (cropped).jpg,Tipu Munshi
Minister of Disaster Management and Relief,Abul Hassan Mahmood Ali,Q16058009,2012-12,2013,male,1943-06-02,,Abul Hassan Mahmood Ali - 2018 (29993917937) (cropped).jpg,Abul Hassan Mahmood Ali
Minister of Education,Osman Faruk,Q28839572,2001-10-10,2006-10-29,male,1940,,Osman Faruk.jpg,Osman Faruk
