title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
monarch,1973-07-10,Q9682,Elizabeth II,female,1926-04-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Queen%20Elizabeth%20II%20in%20March%202015.jpg
Governor-General,2010-04-14,Q175892,Arthur Foulkes,male,1928-05-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Arthur%20Foulkes%20%28cropped%29.jpg
Prime Minister,2021-09-17,Q7183082,"Philip ""Brave"" Davis",male,1951-06-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%20%D0%94%D1%8D%D0%B2%D0%B8%D1%81%20%2801-09-2016%29.jpg
Deputy Prime Minister,2021-09-17,Q108674257,Chester Cooper,male,1964-08-22,11,,,
Minister of Agriculture and Marine Resources,2021-09-22,Q109462470,Clay Sweeting,,,,,,
Minister of Economic Affairs,2021-09-20,Q109462938,Michael Halkitis,,,,,,
Minister of Education,2021-09-20,Q19561395,Glenys Hanna Martin,female,1958-10-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/GlenysHanna-Martin.jpg
Minister for the Environment and Natural Resources,2021-09-20,Q109463063,Vaughn Miller,,,,,,
Minister of Finance,2021-09-20,Q7183082,"Philip ""Brave"" Davis",male,1951-06-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%A4%D0%B8%D0%BB%D0%B8%D0%BF%20%D0%94%D1%8D%D0%B2%D0%B8%D1%81%20%2801-09-2016%29.jpg
Minister of Foreign Affairs and Public Service,2021-09-20,Q3086904,Fred Mitchell,male,1953-10-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Fred%20Mitchell%20%28Bahamas%29%28cropped%29.jpg
Minister for Grand Bahama,2021-09-20,Q109462791,Ginger Moxey,,,,,,
Minister of Health,2021-09-20,Q109462910,Michael Darville,,,,,,
Minister of Labour and Immigration,2021-09-20,Q109462898,Keith Bell,,,,,,
Minister of National Security,2021-09-20,Q7976498,Wayne Munroe,male,,,,,
Minister of Public Works and Utilities,2021-09-22,Q109462441,Alfred Sears,,,,,,
Minister of Social Services and Urban Development,2021-09-20,Q109462976,Obediah Wilchcombe,,,,,,
Minister of Tourism and Aviation,2021-09-17,Q108674257,Chester Cooper,male,1964-08-22,11,,,
Minister of Transport,2021-09-23,Q108577107,JoBeth Coleby-Davis,female,1984-07-17,11,,,
"Minister of Youth, Sports and Culture",2021-09-22,Q109462283,Mario Bowleg,,,,,,
Attorney General and Minister of Legal Affairs,2021-09-01,Q7384427,Ryan Pinder,male,1947-09-13,11,,,
Minister of State for Legal Affairs,2021-09-20,Q109462849,Jomo Campbell,,,,,,
Minister of State for the Environment,2021-09-22,Q109462443,Basil McIntosh,,,,,,
Minister of State for the Public Service,2021-09-20,Q108933174,Pia Glover-Rolle,female,1977-01-01,9,,,
Minister of State in the Ministry of Education and Technical & Vocational Training,2021-09-20,Q109463421,Zane Lightbourne,,,,,,
Minister of State in the Ministry of Social Services and Urban Development,2021-09-23,Q108938054,Lisa Rahming,female,,,,,
Minister of State in the Office of the Prime Minister,2021-09-20,Q109462970,Myles LaRoda,,,,,,
Leader of Government Business in the House of Assembly,2021-09-20,Q109462976,Obediah Wilchcombe,,,,,,
Leader of Government Business in the Senate,2021-09-20,Q109462938,Michael Halkitis,,,,,,
Speaker of the House of Assembly,2021-09-01,Q108990353,Patricia Deveaux,female,,,,,
President of the Senate,2021-10-06,Q109421249,Lashell Adderley,female,,,,,
Chief Justice,2019-06-12,Q109463694,Brian Moree,,,,,,
Governor of the Central Bank,2016-01-01,Q25431474,John A. Rolle,male,,,,,
