position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the Parliament of Gibraltar,Yvette Del Agua,Q13415150,2007-10-11,2011-12-08,female,1957-10-21,,,Yvette Del Agua
Member of the Parliament of Gibraltar,Joseph Garcia,Q1442437,2007-10-11,2011-12-08,male,1967,,Joseph Garcia portrait.jpg,Joseph Garcia (Gibraltarian politician)
Member of the Parliament of Gibraltar,Clive Beltran,Q16142559,2007-10-11,2011-12-08,male,1949-10-18,,,Clive Beltran
Member of the Parliament of Gibraltar,Fabian Picardo,Q2356379,2007-10-11,2011-12-08,male,1972-02-18,,05-Mayo-17 Visita Claire Moody (11) (33659896883).jpg,Fabian Picardo
Member of the Parliament of Gibraltar,Peter Caruana,Q249192,2007-10-11,2011-12-08,male,1956-10-15,,Peter Caruana 2.jpg,Peter Caruana
Member of the Parliament of Gibraltar,Joe Bossano,Q3090591,2007-10-11,2011-12-08,male,1939-06-10,,Joebossano.jpg,Joe Bossano
Member of the Parliament of Gibraltar,Neil Costa,Q3322915,2007-10-11,2011-12-08,male,,,"Minister for Business and Employment, the Honourable Neil F Costa MP.jpg",Neil Costa
Member of the Parliament of Gibraltar,Charles Bruzon,Q3322924,2007-10-11,2011-12-08,male,1938-06-10,2013-04-16,,Charles Bruzon
Member of the Parliament of Gibraltar,Steven Linares,Q3323210,2007-10-11,2011-12-08,male,,,Steven Linares at the 2013 Gibraltar Music Festival.jpg,Steven Linares
Member of the Parliament of Gibraltar,Gilbert Licudi,Q3323259,2007-10-11,2011-12-08,male,,,"Gilbert Licudi, June 2014.jpg",Gilbert Licudi
Member of the Parliament of Gibraltar,Daniel Feetham,Q5217120,2007-10-11,2011-12-08,male,1967-05-26,,"Daniel Feetham votando en las elecciones generales de Gibraltar, 26 de noviembre de 2015.jpg",Daniel Feetham
Member of the Parliament of Gibraltar,Ernest Britto,Q61943688,2007-10-11,2011-12-08,male,,,,
Member of the Parliament of Gibraltar,James Netto,Q61943691,2007-10-11,2011-12-08,male,,,,
Member of the Parliament of Gibraltar,Edwin Reyes,Q61943702,2007-10-11,2011-12-08,male,,,,
Member of the Parliament of Gibraltar,Fabian Vinet,Q61943709,2007-10-11,2011-12-08,male,,,,
Member of the Parliament of Gibraltar,Luis Montiel,Q61943740,2007-10-11,2011-12-08,male,,,,
Member of the Parliament of Gibraltar,Joe Holliday,Q6210376,2007-10-11,2011-12-08,male,1955-12-12,,,Joe Holliday
Member of the Parliament of Gibraltar,Joseph Garcia,Q1442437,2011-12-08,2015-11-26,male,1967,,Joseph Garcia portrait.jpg,Joseph Garcia (Gibraltarian politician)
Member of the Parliament of Gibraltar,Damon Bossino,Q14624743,2011-12-08,2015-11-26,male,1983,,,Damon Bossino
Member of the Parliament of Gibraltar,Isobel Ellul-Hammond,Q16728812,2011-12-08,2015-11-26,female,1979-11-26,,,Isobel Ellul-Hammond
