position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Marcelo Rebelo de Sousa,Q6756617,2016-03-09,male,1948-12-12,,Marcelo Rebelo de Sousa em fevereiro de 2018.jpg,Marcelo Rebelo de Sousa
Prime Minister,António Costa,Q610788,2015-11-26,male,1961-07-17,,António Costa img 6536.jpg,António Costa
Minister of Agriculture,Maria do Céu Albuquerque,Q72410716,2019-10-26,female,1970-07-10,,,
Minister of Culture,Graça Fonseca,Q30930777,2019-10-26,female,1971-08-13,,"Graça Fonseca (Sessão de Evocação do Centenário de Amália Rodrigues, no Panteão Nacional), cropped.png",Graça Fonseca
Minister of Education,Tiago Brandão Rodrigues,Q23799289,2015-11-26,male,1977-06-03,,Web Summit 2017 - Day 1 DG2 2759 (38241612491) (cropped).jpg,Tiago Brandão Rodrigues
Minister for the Environment and Climate Action,João Pedro Matos Fernandes,Q23800376,2019-10-26,male,1967-12-12,,"João Pedro Matos Fernandes, Minister of the Environment and Energy Transition, Portugal (33730864708) (cropped).jpg",João Pedro Matos Fernandes
Minister for Finance,João Leão,Q96200181,2020-06-15,male,1974-02-15,,,João Leão
Minister of Foreign Affairs,Augusto Santos Silva,Q769747,2019-10-26,male,1956-08-20,,2019 05 31 Augusto Santos Silva.jpg,Augusto Santos Silva
Minister of Health,Marta Temido,Q57339530,2018-10-15,female,1974-03-02,,,Marta Temido
Minister for Infrastructure and Housing,Pedro Nuno Santos,Q10347660,2019-10-26,male,1977-04-13,,"Pedro Nuno Santos, 2020-01-15 (cropped).png",
Minister of Internal Administration,Eduardo Cabrita,Q21600813,2017-10-21,male,1961-09-26,,"Eduardo Cabrita, Feira do Fumeiro 2017.png",Eduardo Cabrita
Minister of Justice,Francisca Van Dunem,Q5482965,2015-11-26,female,1955-11-05,,TOUR DE TABLE 2016-07-08 Informal Meeting of Justice Ministers (27553458143) (cropped).jpg,Francisca Van Dunem
"Minister of Labour, Solidarity and Social Security",Ana Mendes Godinho,Q52112309,2019-10-26,female,1972-06-29,,Sustainable Growth tourism that benefits everyone (39757095370) (cropped).jpg,Ana Mendes Godinho
Minister of Maritime Affairs,Ricardo Serrão Santos,Q16596372,2019-10-26,male,1954-10-11,,,
Minister for Modernization of the State and Public Administration,Alexandra Leitão,Q25440529,2019-10-26,female,1973-04-08,,,
Minister of National Defence,João Gomes Cravinho,Q57343622,2018-10-15,male,1964-06-16,,05 04 2018 - João Gomes Cravinho.jpg,João Gomes Cravinho
Minister for Planning,Nelson de Souza,Q85875924,2019-10-26,male,1954-12-11,,,
"Minister for Science, Technology and Higher Education",Manuel Heitor,Q23905333,2019-10-26,male,1958-09-21,,Manuel Heitor NanoPT2016.jpeg,Manuel Heitor
Minister for Territorial Cohesion,Ana Abrunhosa,Q72426658,2019-10-26,female,1970-07-04,,"Ana Abrunhosa (Sessão Solene do Feriado Municipal de Óbidos, 2020-01-11), cropped.png",Ana Abrunhosa
President of the Assembly of the Republic,Eduardo Ferro Rodrigues,Q925136,2015-10-23,male,1949-11-03,,"Eduardo Ferro Rodrigues smiling at handshaking, Bratislava Informal Parliamentary Summit 2016-10-07.jpg",Eduardo Ferro Rodrigues
Governor of the Bank of Portugal,Mário Centeno,Q21568721,2020-07-20,male,1966-12-09,,"Informal meeting of economic and financial affairs ministers (ECOFIN). Handshake, Eurogroup Toomas Tõniste and Mário Centeno (37238535645) (cropped).jpg",Mário Centeno
Chief of the General Staff of the Armed Forces,António Manuel Fernandes da Silva Ribeiro,Q106542530,2018-03-01,male,1957-10-14,,,António da Silva Ribeiro
