title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
monarch,1972-01-14,Q102139,Margrethe II of Denmark,female,1940-04-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Drottning%20Margrethe%20av%20Danmark.jpg
Prime Minister,2019-06-27,Q5015,Mette Frederiksen,female,1977-11-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Danish%20Prime%20Minister%20Frederiksen.jpg
Minister for Children,2019-06-27,Q6517082,Pernille Rosenkrantz-Theil,female,1977-01-17,11,,,
Minister of Culture,2021-08-16,Q12301637,Ane Halsboe-Jørgensen,female,1983-05-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Halsboe-J%C3%B8rgensen%20%2851119844650%29%20%28cropped%29.jpg
Minister of Defence,2019-06-27,Q12339763,Trine Bramsen,female,1981-03-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Trine%20Bramsen.jpg
Minister for Development Cooperation,2020-11-19,Q12311591,Flemming Møller Mortensen,male,1963-07-03,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/GC%20ministermote%2020210901%200048%20%2851419178398%29%20%28cropped%29.jpg
Minister for Ecclesiastical Affairs,2021-08-16,Q12301637,Ane Halsboe-Jørgensen,female,1983-05-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ane%20Halsboe-J%C3%B8rgensen%20%2851119844650%29%20%28cropped%29.jpg
Minister of Education,2019-06-27,Q6517082,Pernille Rosenkrantz-Theil,female,1977-01-17,11,,,
Minister of Education and Research,2021-08-16,Q12319657,Jesper Petersen,male,1981-08-25,11,,,
"Minister of Energy, Utilities, and Climate",2019-06-27,Q1159092,Dan Jørgensen,male,1975-06-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Dan%20J%C3%B8rgensen%200009.JPG
Minister for the Environment,2019-06-27,Q20174096,Lea Wermelin,female,1985-05-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Lea%20Wermelin.jpg
Minister of Finance,2019-06-27,Q575363,Nicolai Wammen,male,1971-02-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Nicolai%20Wammen%2C%20pressefoto.jpg
"Minister for Food, Agriculture and Fisheries",2020-11-19,Q12332940,Rasmus Prehn,male,1973-06-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Rasmus%20Prehn%202012%20Folkem%C3%B8det%20Bornholm.jpg
Minister of Foreign Affairs,2019-07-27,Q1799046,Jeppe Kofod,male,1974-03-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jeppe%20Kofod%20July%2022%2C%202020%20%28cropped%29.jpg
Minister for Gender Equality,2019-06-27,Q12331581,Peter Hummelgaard Thomsen,male,1983-01-17,11,,,
Minister for Health,2019-06-27,Q12325727,Magnus Heunicke,male,1975-01-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Opening%20of%20Plusway%20-%20Magnus%20Heunicke%2001%20%28cropped%29.JPG
