position,person,personID,start,gender,DOB,dobp,DOD,dodp,image
President,Michael D. Higgins,Q57276,2011-11-11,male,1941-04-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/President%20Higgins%27s%20visit%20FINIRISH%20BATT%20HQ%2C%20Lebanon%20%28cropped%29.jpg
Taoiseach,Micheál Martin,Q920403,2020-06-27,male,1960-08-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Miche%C3%A1l%20Martin%20TD%20%28cropped%29.jpg
Tánaiste,Leo Varadkar,Q1728820,2020-06-27,male,1979-01-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20Varadkar%20TD%20%28cropped%29.jpg
"Minister for Agriculture, Food and the Marine",Charlie McConalogue,Q5085220,2020-09-02,male,1977-10-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Charlie%20McConalogue%202011.jpg
Minister for Children and Youth Affairs,Roderic O'Gorman,Q16980123,2020-06-27,male,1982-12-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Roderic%20O%27Gorman.jpg
"Minister for Communications, Climate Action and Environment",Eamon Ryan,Q920195,2020-06-27,male,1963-07-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eamon%20Ryan%20Green%20Party.jpg
Minister for Community and Rural Affairs,Heather Humphreys,Q5693903,2020-06-27,female,1963-05-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heather%20Humphreys%202016.jpg
Minister for Defence,Simon Coveney,Q1670096,2020-06-27,male,1972-06-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Coveney%202018.jpg
Minister for Education and Skills,Norma Foley,Q84768900,2020-06-27,female,1970-01-01,9,,,
Minister for Finance,Paschal Donohoe,Q1271675,2017-06-14,male,1974-09-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Paschal%20Donohoe%20TD.jpg
Minister for Foreign Affairs and Trade,Simon Coveney,Q1670096,2017-06-14,male,1972-06-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Coveney%202018.jpg
"Minister for Further and Higher Education, Research, Innovation and Science",Simon Harris,Q7518922,2020-06-27,male,1986-10-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Harris%202012.jpg
Minister for Health,Stephen Donnelly,Q13157830,2020-06-27,male,1975-12-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Stephen%20Donnelly%202016.jpg
"Minister for Housing, Planning and Local Government",Darragh O'Brien,Q1166562,2020-06-01,male,1974-07-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Darragh%20O%27Brien.jpg
"Minister for Jobs, Enterprise and Innovation",Leo Varadkar,Q1728820,2020-06-27,male,1979-01-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Leo%20Varadkar%20TD%20%28cropped%29.jpg
Minister for Justice and Equality,Helen McEntee,Q8939886,2021-11-01,female,1986-06-08,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/2018%20Helen%20McEntee%20%2839947643565%29%20%28cropped%29.jpg
Minister for Public Expenditure and Reform,Michael McGrath,Q6832712,2020-06-27,male,1976-08-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20McGrath%202014.png
"Minister for Social Protection, Community and Rural Development and the Islands",Heather Humphreys,Q5693903,2020-06-27,female,1963-05-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Heather%20Humphreys%202016.jpg
"Minister for Tourism, Culture, Arts, Gaeltacht, Sport and Media",Catherine Martin,Q22966979,2020-06-01,female,1972-12-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Catherine%20Martin%20TD.jpg
"Minister for Transport, Tourism and Sport",Eamon Ryan,Q920195,2020-06-27,male,1963-07-28,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Eamon%20Ryan%20Green%20Party.jpg
Minister of State at the Department of Defence,Jack Chambers,Q23006318,2020-11-17,male,1990-11-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Chambers.jpg
Minister of State at the Department of Education,Josepha Madigan,Q23006324,2020-07-01,female,1970-05-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Josepha%20Madigan.jpg
Minister of State at the Department of the Taoiseach,Jack Chambers,Q23006318,2020-07-15,male,1990-11-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Chambers.jpg
Minister of State for Rural Economic Development and Rural Transport,Ann Phelan,Q4766625,2014-07-01,female,1961-09-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ann%20Phelan%202013.jpg
Minister of State for Tourism and Sport,Patrick O'Donovan,Q7147378,2016-05-19,male,1977-03-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20O%27Donovan%20-%202018.jpg
Minister of State with responsibility for Sport and the Gaeltacht,Jack Chambers,Q23006318,2020-07-15,male,1990-11-21,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Chambers.jpg
Cathaoirleach,Denis O'Donovan,Q1187575,2016-06-08,male,1955-07-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Donovan6602.jpg
Ceann Comhairle,Seán Ó Fearghaíl,Q7459627,2016-03-10,male,1960-04-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Se%C3%A1n%20%C3%93%20Feargha%C3%ADl%202016.jpg
Leas-Cheann Comhairle,Pat the Cope Gallagher,Q981866,2016-06-06,male,1948-03-10,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Pat%20the%20Cope%20Gallagher%20MEP%201.jpg
Leader of the Seanad,Regina Doherty,Q7308461,2020-06-29,female,1971-01-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Regina%20Doherty%2C%202017.jpg
Attorney General,Paul Gallagher,Q7150801,2020-06-27,male,1955-03-20,11,,,
Chief Justice,Donal O'Donnell,Q5293884,2021-10-11,male,1958-04-10,11,,,
Governor of the Central Bank,Gabriel Makhlouf,Q75186229,2019-09-01,male,1960-01-01,9,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gabriel%20Makhlouf.jpg
Chief of Staff of the Defence Forces,Mark Mellett,Q5475429,2015-01-01,male,1958-11-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vice%20Admiral%20Mark%20Mellett%20DSM.jpg
