position,person,personID,start,gender,DOB,DOD,image,enwiki
President,Alexander Van der Bellen,Q78869,2017-01-26,male,1944-01-18,,Alexander Van der Bellen (13-07-2021) (cropped).jpg,Alexander Van der Bellen
Federal Chancellor,Alexander Schallenberg,Q64168538,2021-10-11,male,1969-06-20,,Alexander Schallenberg (51029203647).jpg,Alexander Schallenberg
Vice-Chancellor,Werner Kogler,Q2561778,2020-01-07,male,1961-11-20,,2020 Werner Kogler (50670439058).jpg,Werner Kogler
"Federal Minister for Agriculture, Regions and Tourism",Elisabeth Köstinger,Q86851,2020-01-07,female,1978-11-22,,2020 Elisabeth Köstinger Ministerrat am 8.1.2020 (49351371016) (cropped) (cropped).jpg,Elisabeth Köstinger
"Federal Minister for Arts, Culture, the Civil Service and Sport",Werner Kogler,Q2561778,2020-01-07,male,1961-11-20,,2020 Werner Kogler (50670439058).jpg,Werner Kogler
"Federal Minister for Climate Action, Environment, Energy, Mobility, Innovation and Technology",Leonore Gewessler,Q64954602,2020-01-07,female,1977-09-15,,2020 Leonore Gewessler Ministerrat am 8.1.2020 (49351367291) (cropped) (cropped).jpg,Leonore Gewessler
Federal Minister for Digital and Economic Affairs,Margarete Schramböck,Q36493675,2020-01-07,female,1970-05-12,,2015 Margarete Schramböck (16964730760).jpg,Margarete Schramböck
Federal Minister of Education,Heinz Fassmann,Q1600191,2020-01-07,male,1955-08-13,,2020 Heinz Faßmann Ministerrat am 8.1.2020 (49351370546) (cropped) (cropped).jpg,Heinz Faßmann
Federal Minister of Finance,Gernot Blümel,Q15812048,2020-01-07,male,1981-10-24,,2020 Gernot Blümel Ministerrat am 8.1.2020 (49350912713) (cropped) (cropped).jpg,Gernot Blümel
Federal Minister of Foreign Affairs,Michael Linhart,Q15428953,2021-10-11,male,1958-08-31,,2021 Michael Linhart (51606738651) (cropped) (cropped).jpg,Michael Linhart
Federal Minister for Health,Wolfgang Mückstein,Q106484746,2021-04-19,male,1974-07-05,,2021 Wolfgang Mückstein (51115921585) (cropped).jpg,Wolfgang Mückstein
Federal Minister of the Interior,Karl Nehammer,Q42860944,2020-01-07,male,1972-10-18,,2020 Karl Nehammer Ministerrat am 8.1.2020 (49351572787) (cropped).jpg,Karl Nehammer
Federal Minister of Justice,Alma Zadić,Q42162193,2020-01-07,female,1984-05-24,,"2020 Alma Zadić, Pressekonferenz Hass im Netz (50304413907).jpg",Alma Zadić
Federal Minister for Labour,Martin Kocher,Q18222522,2021-01-11,male,1973-09-13,,2021 Martin Kocher (50958944386) (cropped) (cropped).jpg,Martin Kocher
Federal minister of National Defence,Klaudia Tanner,Q43380898,2020-01-07,female,1970-05-02,,2020 Klaudia Tanner Ministerrat am 8.1.2020 (49351575442) (cropped) (cropped).jpg,Klaudia Tanner
Federal Minister for the EU and Constitution,Karoline Edtstadler,Q45815517,2020-01-07,female,1981-03-28,,2020 Karoline Edtstadler Ministerrat am 8.1.2020 (49351571042) (cropped) (cropped).jpg,Karoline Edtstadler
"Federal Minister for Women, Family, Youth and Integration",Susanne Raab,Q80289609,2020-01-07,female,1984-10-20,,2020 Susanne Raab Ministerrat am 8.1.2020 (49351571192) (cropped) (cropped).jpg,Susanne Raab
"State Secretary in the Federal Ministry for Arts, Culture, the Civil Service and Sport",Andrea Mayer,Q94576878,2020-05-20,female,1962-04-19,,Andrea mayer.jpg,Andrea Mayer
"State Secretary in the Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology",Magnus Brunner,Q1884520,2020-01-07,male,1972-05-06,,2020 Magnus Brunner Ministerrat am 8.1.2020 (49351370666) (cropped) (cropped).jpg,Magnus Brunner
President of the National Council,Wolfgang Sobotka,Q2591433,2017-12-20,male,1956-01-05,,Wolfgang Sobotka 23-05-2013 01.JPG,Wolfgang Sobotka
Second President of the National Council,Doris Bures,Q85433,2017-11-09,female,1962-08-03,,GuentherZ 2012-07-04 0047 Wien03 Strandbar Hermann Danube-Day Doris Bures.jpg,Doris Bures
Third President of the National Council,Norbert Hofer,Q1996861,2019-10-23,male,1971-03-02,,Norbert Hofer - FPÖ-Neujahrstreffen 2019.JPG,Norbert Hofer
Chief of the General Staff,Robert Brieger,Q53194017,2018-07-24,male,1956-11-21,,Robert Brieger in 2019.jpg,Robert Brieger
Governor of Oesterreichische Nationalbank,Robert Holzmann,Q22005045,2019-09-01,male,1949-02-27,,"Robert Holzmann. Copyright OeNB, 2020.jpg",Robert Holzmann
Mayor of Vienna,Michael Ludwig,Q1560091,2018-05-24,male,1961-04-03,,Michael Ludwig - Veranstaltung „1. Tag des Wiener Wohnbaus“ (1).JPG,Michael Ludwig
