title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
President,2018-04-09,Q93153,Armen Sarkissian,male,1953-06-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Sarkissian%20armen%20profile.jpg
Prime Minister,2021-06-20,Q7035479,Nikol Pashinyan,male,1975-06-01,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Besuch%20des%20Ministerpr%C3%A4sidenten%20von%20Armenien%2C%20Nikol%20Pashinyan%2C%20im%20K%C3%B6lner%20Rathaus-2162.jpg
Minister of Defence,2021-08-03,Q107605738,Arshak Karapetyan,male,1967-02-06,11,,,
Minister of Economy,2021-08-02,Q108315659,Vahan Kerobyan,male,1976-10-01,11,,,
Minister of Education and Science,2021-08-02,Q108315645,Vahram Dumanyan,male,1962-09-09,11,,,
Minister of Emergency Situations,2020-11-20,Q100691234,Andranik Piloyan,male,1962-01-01,9,,,
Minister of Environment,2020-07-30,Q56121104,Romanos Petrosyan,male,1979-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%D5%8C%D5%B8%D5%B4%D5%A1%D5%B6%D5%B8%D5%BD%20%D5%8A%D5%A5%D5%BF%D6%80%D5%B8%D5%BD%D5%B5%D5%A1%D5%B6.jpg
Minister of Finance,2021-08-02,Q108315666,Tigran Khachatryan,male,1970-12-11,11,,,
Minister of Foreign Affairs,2021-08-19,Q31196321,Ararat Mirzoyan,male,1979-11-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Armenian%20Speaker%20Ararat%20Mirzoyan%2C%20Yerevan%2C%2025%20November%202019%20%28cropped%29.jpg
Minister of Health,2021-01-01,Q87244322,Anahit Avanesian,female,1981-03-21,11,,,
Minister of High-Tech Industry,2021-08-02,Q3553274,Vahagn Khachatryan,male,1959-04-22,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Vahagn%20Khachaturyan.jpg
Minister of Justice,2021-08-02,Q6369479,Karen Andreasyan,male,1977-09-10,11,,,
Minister of Labor and Social Affairs,2021-04-23,Q63762730,Narek Mkrtchyan,male,1989-06-20,11,,,
Minister of Territorial Administration and Infrastructures,2021-08-02,Q57269722,Gnel Sanosyan,male,1983-10-07,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Gnel%20Sanosyan.jpg
Chief of the General Staff,2020-06-08,Q21210624,Onik Gasparyan,male,1970-01-06,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Onik%20Gasparyan.jpeg
President of the National Assembly,2021-08-02,Q20513503,Alen Simonyan,male,1980-01-05,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alen%20Simonyan.jpg
Governor of the Central Bank,2020-06-13,Q109452938,Martin Galstyan,male,,,,,
Mayor of Yerevan,2018-10-10,Q5686767,Hayk Marutyan,male,1976-12-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%90%D0%B9%D0%BA%20%D0%9C%D0%B0%D1%80%D1%83%D1%82%D1%8F%D0%BD.png
