title,start,person,personLabel,genderLabel,dob,dobPrecision,dod,dodPrecision,image
Governor-General,2019-07-01,Q5235277,David Hurley,male,1953-08-26,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Hurley%20official%20photo%20%28cropped%29.jpg
Prime Minister,2018-08-24,Q7436908,Scott Morrison,male,1968-05-13,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Morrison%202014%20%28cropped%29.jpg
Deputy Prime Minister,2021-06-22,Q4861362,Barnaby Joyce,male,1967-04-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Barnaby%20Joyce.jpg
Minister for Climate Change and Energy Efficiency,2018-08-28,Q16196728,Angus Taylor,male,1966-09-30,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Angus%20Taylor%202015.jpg
"Minister for Communications, Urban Infrastructure, Cities and the Arts",2019-05-29,Q7150671,Paul Fletcher,male,1965-01-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Fletcher%20MP%202014.jpg
Minister for Defence,2021-03-30,Q7173778,Peter Dutton,male,1970-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Dutton%20with%20the%20commanding%20officer%20of%20the%203d%20Battalion%2C%2012th%20Marines%20during%20Talisman%20Sabre%202021.jpg
Minister for Defence Materiel,2019-05-26,Q16195275,Melissa Price,female,1963-12-12,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Melissa%20Price%20MP.jpg
Minister for Defence Science and Personnel,2021-06-21,Q4757071,Andrew Gee,male,1968-09-13,11,,,
Minister for Education,2020-12-22,Q4707935,Alan Tudge,male,1971-02-24,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alan%20Tudge%202018%20%28cropped%29.jpg
Minister for Emergency Management and National Recovery and Resilience,2021-06-21,Q4966734,Bridget McKenzie,female,1969-12-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bridget%20McKenzie%202014-02.jpg
Minister for Employment and Workplace Relations,2021-03-30,Q572783,Michaelia Cash,female,1970-07-19,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michaelia%20Cash%20March%202014.jpg
Minister for the Environment,2019-05-29,Q7649377,Sussan Ley,female,1961-12-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/SL%20-%2010th%20Ann%20Tour.JPG
Minister for Finance,2020-10-30,Q7518284,Simon Birmingham,male,1974-06-14,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Simon%20Birmingham.jpg
Minister for Foreign Affairs,2018-08-28,Q16191011,Marise Payne,female,1964-07-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Australian%20Foreign%20Minister%20Marise%20Payne%20%2848449521096%29%20%28cropped%29.jpg
Minister for Health,2017-01-24,Q5605742,Greg Hunt,male,1965-11-18,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Greg%20Hunt.jpg
Minister for Home Affairs,2021-03-30,Q6369482,Karen Andrews,female,1960-08-23,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Karen%20Andrews.jpg
"Minister for Homelessness, Social and Community Housing",2019-05-29,Q16221628,Michael Sukkar,male,1981-09-11,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Sukkar.jpg
Minister for Human Services,2021-03-30,Q16735152,Linda Reynolds,female,1965-05-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Linda%20Reynolds.png
Minister for Immigration and Border Protection,2020-12-22,Q4717151,Alex Hawke,male,1977-07-09,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Hawke.jpg
Minister for Indigenous Affairs,2019-05-29,Q3195101,Ken Wyatt,male,1952-08-04,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ken%20Wyatt%20cropped.jpg
Minister for Infrastructure and Transport,2021-06-22,Q4861362,Barnaby Joyce,male,1967-04-17,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Barnaby%20Joyce.jpg
Minister for International Development and the Pacific,2020-12-22,Q8068367,Zed Seselja,male,1977-03-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Zed%20Seselja.jpg
Minister for the National Disability Insurance Scheme,2021-03-30,Q16735152,Linda Reynolds,female,1965-05-16,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Senator%20Linda%20Reynolds.png
Minister for the Public Service,2021-10-08,Q25352543,Ben Morton,male,1981-06-29,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Ben%20Morton.jpg
Minister for Regional Health,2021-06-21,Q16189272,David Gillespie,male,1957-12-20,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/David%20Gillespie%202017%20%28cropped%29.jpg
"Minister for Regionalisation, Regional Communications and Regional Education",2021-06-21,Q4966734,Bridget McKenzie,female,1969-12-27,11,,,http://commons.wikimedia.org/wiki/Special:FilePath/Bridget%20McKenzie%202014-02.jpg
