position,person,personID,start,end,gender,DOB,DOD,image,enwiki
Member of the 2021– Parliament of Iceland,Diljá Mist Einarsdóttir,Q106713472,2021-09-25,,female,,,,
Member of the 2021– Parliament of Iceland,Þórarinn Ingi Pétursson,Q108510678,2021-09-25,,male,1972-08-22,,,
Member of the 2021– Parliament of Iceland,Ingibjörg Ólöf Isaksen,Q108856310,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Guðbrandur Einarsson,Q108856352,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Guðrún Hafsteinsdóttir,Q108856353,2021-09-25,,female,1970-02-09,,,
Member of the 2021– Parliament of Iceland,Eyjólfur Ármannsson,Q108856354,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Ásthildur Lóa Þórsdóttir,Q108856355,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Kristrún Mjöll Frostadóttir,Q108856371,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Hildur Sverrisdóttir,Q108881942,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Orri Páll Jóhannsson,Q108881944,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Jóhann Páll Jóhannsson,Q108881945,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Arndís Anna K. Gunnarsdóttir,Q108881946,2021-09-25,,female,1982-02-03,,,
Member of the 2021– Parliament of Iceland,Ágúst Bjarni Garðarsson,Q108881947,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Gísli Rafn Ólafsson,Q108881948,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Lilja Rannveig Sigurgeirsdóttir,Q108881950,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Bjarni Jónsson,Q108881953,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Jóhann Friðrik Friðriksson,Q108881954,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Berglind Ósk Guðmundsdóttir,Q108881955,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Hafdís Hrönn Hafsteinsdóttir,Q108881956,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Jódís Skúladóttir,Q108881957,2021-09-25,,,,,,
Member of the 2021– Parliament of Iceland,Þorgerður Katrín Gunnarsdóttir,Q139225,2021-09-25,,female,1965-10-04,,"Thorgerdur K. Gunnarsdottir, Islands kulturminister.jpg",Þorgerður Katrín Gunnarsdóttir
Member of the 2021– Parliament of Iceland,Steinunn Þóra Árnadóttir,Q15214902,2021-09-25,,female,1977-09-18,,,Steinunn Þóra Árnadóttir
Member of the 2021– Parliament of Iceland,Guðlaugur Þór Þórðarson,Q1557735,2021-09-25,,male,1967-12-19,,Guðlaugur Þór Þórðarson (19-07-2021).jpg,Guðlaugur Þór Þórðarson
Member of the 2021– Parliament of Iceland,Ásmundur Friðriksson,Q15622430,2021-09-25,,male,1956-01-21,,,Ásmundur Friðriksson
Member of the 2021– Parliament of Iceland,Bjarkey Gunnarsdóttir,Q15622449,2021-09-25,,female,1965-02-27,,,Bjarkey Gunnarsdóttir
Member of the 2021– Parliament of Iceland,Haraldur Benediktsson,Q15730617,2021-09-25,,male,1966-01-23,,,
Member of the 2021– Parliament of Iceland,Sigmar Guðmundsson,Q15838819,2021-09-25,,male,,,,
Member of the 2021– Parliament of Iceland,Líneik Anna Sævarsdóttir,Q16421281,2021-09-25,,female,1964-11-03,,Líneik Anna Sævarsdóttir (30213158190).jpg,Líneik Anna Sævarsdóttir
Member of the 2021– Parliament of Iceland,Stefán Vagn Stefánsson,Q16427250,2021-09-25,,male,1972-01-17,,,
Member of the 2021– Parliament of Iceland,Tómas A. Tómasson,Q16429256,2021-09-25,,male,1949,,,Tómas A. Tómasson
Member of the 2021– Parliament of Iceland,Jón Gunnarsson,Q1715048,2021-09-25,,male,1956-09-21,,,Jón Gunnarsson
Member of the 2021– Parliament of Iceland,Sigurður Ingi Jóhannsson,Q201075,2021-09-25,,male,1962-04-20,,Sigurður Ingi Jóhannsson (cropped).jpg,Sigurður Ingi Jóhannsson
Member of the 2021– Parliament of Iceland,Lilja Dögg Alfreðsdóttir,Q23753778,2021-09-25,,female,1973-10-04,,Lilja Dögg Alfreðsdóttir.jpg,Lilja Dögg Alfreðsdóttir
Member of the 2021– Parliament of Iceland,Ásmundur Einar Daðason,Q252565,2021-09-25,,male,1982-10-29,,Ásmundur Einar Daðason.jpg,Ásmundur Einar Daðason
Member of the 2021– Parliament of Iceland,Andrés Ingi Jónsson,Q27688679,2021-09-25,,male,1979-08-16,,,Andrés Ingi Jónsson
Member of the 2021– Parliament of Iceland,Logi Már Einarsson,Q27901964,2021-09-25,,male,1964-08-21,,Logi Már Einarsson.jpg,Logi Már Einarsson
Member of the 2021– Parliament of Iceland,Þórhildur Sunna Ævarsdóttir,Q27956749,2021-09-25,,female,1987-05-06,,,Þórhildur Sunna Ævarsdóttir
Member of the 2021– Parliament of Iceland,Áslaug Arna Sigurbjörnsdóttir,Q27988721,2021-09-25,,female,1990-11-30,,,Áslaug Arna Sigurbjörnsdóttir
Member of the 2021– Parliament of Iceland,Björn Leví Gunnarsson,Q28056970,2021-09-25,,male,1976-06-01,,,
Member of the 2021– Parliament of Iceland,Þórdís Kolbrún R. Gylfadóttir,Q28734624,2021-09-25,,female,1987-11-04,,,Þórdís Kolbrún R. Gylfadóttir
Member of the 2021– Parliament of Iceland,Bryndís Haraldsdóttir,Q28927547,2021-09-25,,female,1976-12-29,,,Bryndís Haraldsdóttir
Member of the 2021– Parliament of Iceland,Njáll Trausti Friðbertsson,Q31749109,2021-09-25,,male,1969-12-31,,,
Member of the 2021– Parliament of Iceland,Hanna Katrín Friðriksson,Q31749114,2021-09-25,,female,1964-08-04,,,
