position,person,personID,start,gender,DOB,DOD,image,enwiki
Emperor,Naruhito,Q217096,2019-05-01,male,1960-02-23,,Emperor Naruhito and Empress Masako (cropped).jpg,Naruhito
Prime Minister,Fumio Kishida,Q359480,2021-10-04,male,1957-07-29,,Fumio Kishida 20211004.jpg,Fumio Kishida
"Minister of Economy, Trade and Industry",Koichi Hagiuda,Q6426211,2021-10-04,male,1963-08-31,,Koichi Hagiuda 20211004.jpg,Kōichi Hagiuda
Minister of Finance,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,,Shunichi Suzuki cropped 2 Shunichi Suzuki and Yukiya Amano 20130701.jpg,Shun'ichi Suzuki (politician)
Minister of State for Consumer Affairs and Food Safety,Kenji Wakamiya,Q6389383,2021-10-04,male,1961-09-02,,Wakamiya Kenji.jpg,Kenji Wakamiya
Minister of State for Disaster Management,Satoshi Ninoyu,Q7426414,2021-10-04,male,1944-09-13,,06ninoyu.jpg,Satoshi Ninoyu
Minister of State for Economic and Fiscal Policy,Daishiro Yamagiwa,Q5209617,2021-10-04,male,1968-09-12,,211005yamagiwa.png,Daishiro Yamagiwa
Minister of State for Financial Services,Shun'ichi Suzuki,Q3482658,2021-10-04,male,1953-04-13,,Shunichi Suzuki cropped 2 Shunichi Suzuki and Yukiya Amano 20130701.jpg,Shun'ichi Suzuki (politician)
Minister of State for Nuclear Emergency Preparedness,Tsuyoshi Yamaguchi,Q704345,2021-10-04,male,1954-10-03,,Tsuyoshi Yamaguchi cropped.jpg,Tsuyoshi Yamaguchi (politician)
Minister of State for Okinawa and Northern Territories Affairs,Kosaburo Nishime,Q11629931,2021-10-04,male,1954-08-07,,98 nishime kousaburou.jpg,Kosaburo Nishime
Minister of State for the Nuclear Damage Compensation and Decommissioning Facilitation Corporation,Koichi Hagiuda,Q6426211,2021-10-04,male,1963-08-31,,Koichi Hagiuda 20211004.jpg,Kōichi Hagiuda
Minister of State for the Promotion of Overcoming Population Decline and Vitalizing Local Economy in Japan,Seiko Noda,Q459698,2021-10-04,female,1960-09-03,,Seiko Noda 20171101.jpg,Seiko Noda
Chief Cabinet Secretary,Hirokazu Matsuno,Q5770251,2021-10-04,male,1962-09-13,,Hirokazu Matsuno.jpg,Hirokazu Matsuno
Chief Justice,Naoto Ōtani,Q11439136,2018-01-01,male,1952-06-23,,,Naoto Ōtani
Director of Cabinet Intelligence,Hiroaki Takizawa,Q69634994,2019-09-11,male,1959,,,
Superintendent General,Yoshihiko Oishi,Q92672207,2021-09-16,male,,,,
Commissioner for Cultural Affairs,Shunichi Tokura,Q11643484,2021-04-01,male,1948-06-21,,,Shunichi Tokura
Governor of the Bank of Japan,Haruhiko Kuroda,Q5244721,2013-03-20,male,1944-10-25,,Haruhiko Kuroda at ADB Philippines (crop).jpg,Haruhiko Kuroda
President of the House of Councillors,Akiko Santō,Q3546202,2019-08-01,female,1942-05-11,,Delegação oficial da Câmara dos Conselheiros do Japão (49363497538).jpg,Akiko Santō
Speaker of the House of Representatives,Hiroyuki Hosoda,Q1133192,2021-11-10,male,1944-04-05,,Hiroyuki Hosoda in New Delhi on 23 September 2016.jpg,Hiroyuki Hosoda
Governor of Aichi Prefecture,Hideaki Ōmura,Q1617350,2011-02-15,male,1960-03-09,,Hideaki Omura (2014.03.23) 5.jpg,Hideaki Ōmura
Governor of Akita Prefecture,Norihisa Satake,Q438468,2009-04-20,male,1947-11-15,,Satake Norihisa 1-1.jpg,Norihisa Satake
