position,person,personID,start,gender,DOB,DOD,image,enwiki
President,János Áder,Q57467,2017-05-10,male,1959-05-09,,János Áder no Brasil.jpg,János Áder
Prime Minister,Viktor Orbán,Q57641,2010-05-29,male,1963-05-31,,Orbán Viktor 2018.jpg,Viktor Orbán
"Deputy Prime Minister for National Policy, Church Affairs and National Minorities",Zsolt Semjén,Q55574,2018-05-18,male,1962-08-08,,Zsolt Semjén 2019.jpg,Zsolt Semjén
Minister of Agriculture,István Nagy,Q16197131,2018-05-18,male,1967-10-06,,Nagy István (agrármérnök).jpg,"István Nagy (politician, born 1967)"
Minister of Defence,Tibor Benkő,Q793043,2018-05-18,male,1955-10-16,,Benkő Tibor vezérezredes.jpg,Tibor Benkő (military officer)
Minister of Foreign Affairs,Péter Szijjártó,Q685293,2014-09-23,male,1978-10-30,,Péter Szijjártó - Hungarian Minister of Foreign Affairs and Trade (44613275674) (cropped).jpg,Péter Szijjártó
Minister of Human Capacities,Miklós Kásler,Q23925538,2018-05-18,male,1950-03-01,,KaslerMiklosFotoThalerTamas.jpg,Miklós Kásler
Minister of Interior,Sándor Pintér,Q549589,2010-05-29,male,1948-07-03,,Sándor Pintér-064.jpg,Sándor Pintér
Minister of Justice,Judit Varga,Q63224253,2019-07-12,female,1980-09-10,,Varga Judit 2020 wikipedia.jpg,Judit Varga (politician)
Minister of National Economy,Mihály Varga,Q1401791,2013-03-07,male,1965-01-26,,Varga Mihály portréja.jpg,Mihály Varga
Minister of National Innovation and Technology,László Palkovics,Q1228425,2018-05-18,male,1965-02-03,,László Palkovics.jpg,László Palkovics
Minister of the Prime Minister's Office,Gergely Gulyás,Q5550584,2018-05-18,male,1981-09-21,,Gulyás Gergely.JPG,Gergely Gulyás
Minister without Portfolio for Family Affairs,Katalin Novák,Q21995345,2020-10-01,female,1977-09-06,,Novák Katalin.jpg,Katalin Novák
Minister Without Portfolio for Managing National Wealth,Andrea Bártfai-Mager,Q53764750,2018-05-18,female,,,Bártfai-Mager Andrea.jpg,Andrea Bártfai-Mager
Minister Without Portfolio for the Paks Nuclear Plant,János Süli,Q30134885,2017-05-02,male,1956-01-26,,,János Süli
Secretary of State for Territorial Public Administration,Zoltán Kovács,Q1034272,2014-06-01,male,1957-12-01,,Dr. Kovács Zoltán cropped.jpg,"Zoltán Kovács (politician, born 1957)"
Speaker of the National Assembly,László Kövér,Q465476,2010-08-06,male,1959-12-29,,László Kövér Senate of Poland 01.JPG,László Kövér
Chief of Staff of the Prime Minister,Antal Rogán,Q1249804,2015-10-01,male,1972-01-29,,Rogán Antal 2009 Solymár.jpg,Antal Rogán
Chief Prosecutor,Péter Polt,Q1238709,2010-12-14,male,1955-09-06,,,Péter Polt
Chief of General Staff of the Armed Forces,Romulusz Ruszin-Szendi,Q107171051,2021-06-03,male,,,,
Commissioner for Fundamental Rights,László Székely,Q16523083,2013-09-16,male,1958-03-15,,,
Government Commissioner,János Lázár,Q750646,2018-08-15,male,1975-02-19,,Lázár János 2 cropped.jpg,János Lázár
Governor of the National Bank,György Matolcsy,Q220286,2013-03-04,male,1955-07-18,,Matolcsy-György Portrait.jpg,György Matolcsy
Mayor of Budapest,Gergely Karácsony,Q1105049,2019-10-13,male,1975-06-11,,Karácsony Gergely - portrait.jpg,Gergely Karácsony
